waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance
1958,365,968.9,192.8,27.61,110.6,1117,242.4,4514,35.2,5.44,19.9,0.236,0.0526,0.487,0,0,0,0,0,0,0.614,0.38,0.18,0.29,0.16,0,0,0,15.3,0.15,0.57,0.43,27.5,0.08148148148148149
1959,366,846.4,192.8,0,96.36,1150,197.9,4776,36.4,5.46,18.1,0.264,0.0571,0.53,0,8,0,0,0.022,0,0.537,0.34,0.15,0.22,0.3,0,8,0.021917808219178082,18.3,0.15,0.5,0.5,23.3,0.5962427745664741
1960,365,826.7,192.8,0,94.37,1488,203.8,6098,46.9,5.96,19.8,0.235,0.0344,0.476,0,0,24,0,0,0.066,0.524,0.38,0.15,0.28,0.19,0,24,0.06575342465753424,27.1,0.13,0.42,0.58,17.6,0.7124060150375938
1961,365,897.7,192.8,0,102.5,1752,263.1,5641,55.2,6.51,22,0.215,0.0457,0.418,0,0,15,0,0,0.041,0.569,0.47,0.11,0.28,0.14,0,15,0.0410958904109589,33.2,0.12,0.4,0.6,16.3,0.29473684210526296
1962,365,842.6,192.8,0,96.19,2119,283.2,7037,66.8,6.65,23.3,0.2,0.0382,0.424,0,0,47,0,0,0.13,0.534,0.53,0.085,0.26,0.12,0,47,0.12876712328767123,43.5,0.1,0.35,0.65,12.6,0.6160256410256408
1963,366,1053,192.8,33.81,119.9,1030,290,2464,32.6,5.19,21.1,0.224,0.0743,0.513,0,0,0,0,0,0,0.668,0.45,0.13,0.31,0.11,0,0,0,11.5,0.16,0.65,0.35,32.3,0
1964,365,922.7,192.8,33.16,105.3,976,261.9,2747,30.8,5.07,18.6,0.25,0.0688,0.481,0,0,0,0,0,0,0.585,0.36,0.12,0.25,0.26,0,0,0,12.2,0.16,0.6,0.4,30,0.1982954545454545
1965,365,880.5,192.8,0,100.5,1224,246.5,5489,38.6,5.55,19,0.248,0.0338,0.467,0,0,3,0,0,0.0082,0.558,0.37,0.11,0.3,0.22,0,3,0.00821917808219178,19.6,0.14,0.49,0.51,22.8,0.35104166666666686
1966,365,919.5,192.8,31.86,105,982.9,263.1,3456,31,5.12,18.6,0.245,0.0628,0.49,0,0,0,0,0,0,0.583,0.35,0.14,0.25,0.26,0,0,0,12.4,0.17,0.6,0.4,29.7,0.20915492957746484
1967,366,890,192.8,0,101.3,1872,254.6,5594,59.2,6.41,22.1,0.211,0.037,0.443,0,0,9,0,0,0.025,0.564,0.47,0.13,0.28,0.12,0,9,0.024657534246575342,37.1,0.11,0.37,0.63,15,0.3204402515723271
