WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1938,365,824.2,192.1,25.51,94.08,879.3,220.5,2873,27.7,4.55,16.8,0.258,0.0701,0.5,0,0,0,0,0,0,0.523,0.33,0.1,0.26,0.31,0,0,0,10.9,0.16,0.61,0.39,29.8
1939,366,888,192.1,25.5,101.1,1342,214.8,5260,42.4,5.92,19.9,0.25,0.0467,0.538,0,0,0,0,0,0,0.563,0.44,0.12,0.19,0.25,0,0,0,22.5,0.14,0.47,0.53,20.9
1940,365,866.1,192.1,22.86,98.87,956.8,224.7,3356,30.2,4.7,18,0.244,0.0545,0.525,0,0,0,0,0,0,0.549,0.38,0.063,0.32,0.24,0,0,0,12.2,0.16,0.6,0.4,28.7
1941,365,759.3,193.4,22.39,86.67,649.5,189.2,2188,20.5,3.58,14.6,0.254,0.0676,0.482,0,0,0,0,0,0,0.482,0.25,0.12,0.24,0.38,0,0,0,5.9,0.17,0.71,0.29,37
1942,365,808.9,193.1,25.07,92.35,669.4,171.1,1708,21.1,3.71,15.6,0.244,0.0867,0.456,0,0,0,0,0,0,0.513,0.27,0.12,0.28,0.33,0,0,0,5.5,0.18,0.74,0.26,38.3
1943,366,846.2,192.9,22.63,96.33,927.9,178.3,2543,29.3,4.61,17.7,0.248,0.0809,0.457,0,0,0,0,0,0,0.537,0.38,0.09,0.18,0.35,0,0,0,11.6,0.16,0.6,0.4,28.9
1944,365,793.2,190.7,24.41,90.55,996.7,192.9,3886,31.4,4.82,16.9,0.256,0.0597,0.547,0,0,0,0,0,0,0.503,0.33,0.1,0.23,0.34,0,0,0,14.5,0.15,0.54,0.46,25.3
1945,365,871,193.4,21.87,99.43,680.8,194.8,1589,21.5,4.04,16.7,0.264,0.0954,0.487,0,0,0,0,0,0,0.552,0.38,0.068,0.18,0.37,0,0,0,4.8,0.19,0.78,0.22,40.5
1946,365,827.4,190.2,26.13,94.45,1234,192.9,4629,38.9,5.47,18.5,0.241,0.0469,0.483,0,0,0,0,0,0,0.525,0.37,0.12,0.25,0.26,0,0,0,20.4,0.14,0.48,0.52,21.3
1947,366,749.3,191.6,0,85.3,1706,261.4,6170,53.9,6.36,20,0.237,0.0387,0.487,0,0,34,0,0,0.093,0.475,0.43,0.1,0.23,0.24,0,34,0.09315068493150686,33.9,0.12,0.37,0.63,13.9
1948,365,634.4,149.6,21.81,72.42,457.3,192.9,905.4,14.4,3.37,11,0.268,0.137,0.472,0,0,0,0,0,0,0.402,0.058,0.19,0.43,0.32,0,0,0,3.4,0.23,0.76,0.24,44.1
1949,365,753.9,190.7,20.83,86.06,1374,171.1,5187,43.3,5.29,18,0.237,0.0312,0.535,0,0,0,0,0,0,0.478,0.37,0.1,0.2,0.33,0,0,0,25.3,0.12,0.42,0.58,17.4
1950,365,839.2,193.8,20.31,95.8,1224,192.9,4402,38.6,5.5,18.8,0.248,0.053,0.504,0,0,0,0,0,0,0.532,0.39,0.14,0.22,0.26,0,0,0,19.8,0.14,0.49,0.51,21.7
1951,366,802.8,192.1,0,91.4,1592,256.7,6170,50.3,5.65,20.3,0.232,0.0397,0.479,0,0,20,0,0,0.055,0.509,0.47,0.038,0.25,0.25,0,20,0.0547945205479452,30,0.11,0.4,0.6,16
1952,365,808.4,191.4,0,92.29,1486,220.5,5886,46.9,5.96,19.5,0.238,0.045,0.481,0,0,11,0,0,0.03,0.513,0.41,0.1,0.28,0.21,0,11,0.030136986301369864,27.4,0.13,0.42,0.58,17.2
1953,365,896.2,192.1,25.99,102.3,1103,258.8,3812,34.8,5.51,19.1,0.255,0.0575,0.533,0,0,0,0,0,0,0.568,0.4,0.12,0.2,0.28,0,0,0,15.7,0.16,0.55,0.45,25.8
1954,365,913.2,191.3,24.91,104.2,1286,212.1,3803,40.6,5.83,20.5,0.243,0.0606,0.476,0,0,0,0,0,0,0.579,0.47,0.079,0.21,0.24,0,0,0,20.1,0.14,0.5,0.5,22.5
1955,366,842.2,192,0,95.88,1761,249.8,5673,55.7,6.2,21.5,0.211,0.0516,0.44,0,0,16,0,0,0.044,0.534,0.48,0.12,0.26,0.15,0,16,0.043835616438356165,34.2,0.11,0.39,0.61,15.1
1956,365,772.3,190.7,0,88.16,1522,290.5,9154,48,5.87,18.7,0.246,0.0261,0.505,0,0,27,0,0,0.074,0.49,0.34,0.17,0.3,0.19,0,27,0.07397260273972603,29.3,0.12,0.39,0.61,16.1
1957,365,728.7,191.8,0,83.19,2334,283.6,9912,73.6,6.22,21.5,0.215,0.0199,0.44,0,0,61,0,0,0.17,0.462,0.47,0.088,0.32,0.12,0,61,0.16712328767123288,52.1,0.085,0.29,0.71,9.9
1958,365,931.7,191.4,27.15,106.4,1104,243.3,4432,34.8,5.44,19.6,0.24,0.0528,0.485,0,0,0,0,0,0,0.591,0.4,0.15,0.31,0.14,0,0,0,15.2,0.16,0.56,0.44,26.8
1959,366,813.5,193.1,20.79,92.61,1134,194.8,4629,35.9,5.48,17.8,0.27,0.0586,0.534,0,0,0,0,0,0,0.516,0.35,0.13,0.21,0.31,0,0,0,18.1,0.15,0.5,0.5,22.7
1960,365,794.8,191.1,0,90.73,1474,201.2,6081,46.5,6.04,19.5,0.24,0.0347,0.482,0,0,24,0,0,0.066,0.504,0.41,0.12,0.29,0.18,0,24,0.06575342465753424,27,0.13,0.42,0.58,17.1
1961,365,864,192.1,0,98.63,1729,266.8,5570,54.5,6.51,21.7,0.218,0.0461,0.428,0,0,15,0,0,0.041,0.548,0.49,0.077,0.3,0.13,0,15,0.0410958904109589,32.8,0.12,0.4,0.6,15.9
1962,365,808.1,191.8,0,92.25,2103,283.6,7115,66.3,6.69,23,0.205,0.0384,0.428,0,0,47,0,0,0.13,0.513,0.54,0.063,0.3,0.099,0,47,0.12876712328767123,43.3,0.1,0.35,0.65,12.2
1963,366,1017,192.1,33.12,115.8,1018,290.5,2450,32.2,5.12,20.8,0.227,0.0747,0.52,0,0,0,0,0,0,0.645,0.46,0.12,0.31,0.11,0,0,0,11.4,0.16,0.65,0.35,31.6
1964,365,887.2,192.1,32.37,101.3,968.1,264.1,2743,30.5,5.07,18.3,0.253,0.0685,0.481,0,0,0,0,0,0,0.563,0.37,0.11,0.27,0.25,0,0,0,12.2,0.17,0.6,0.4,29.1
1965,365,850.1,192.1,0,97.04,1210,246.2,5396,38.1,5.55,18.7,0.252,0.0342,0.473,0,0,2,0,0,0.0055,0.539,0.39,0.09,0.32,0.21,0,2,0.005479452054794521,19.4,0.15,0.49,0.51,22.3
