waterYear,year,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
1969,1969,365,1004,192.8,42.61,114.6,1539,335.5,4874,48.5,6.13,22.3,0.207,0.0435,0.436,0,0,0,0,0,0,0.637,0.45,0.16,0.35,0.038,0,0,0,26.2,0.13,0.46,0.54,20.7
1970,1970,365,976.5,192.8,41.81,111.5,1076,320.2,3139,33.9,5.31,19.9,0.237,0.0716,0.473,0,0,0,0,0,0,0.619,0.4,0.14,0.27,0.19,0,0,0,14,0.16,0.59,0.41,28.8
1971,1971,366,951.9,192.8,35.88,108.4,780.1,275.9,1881,24.7,4.76,18,0.253,0.0787,0.511,0,0,0,0,0,0,0.604,0.3,0.21,0.25,0.24,0,0,0,6.7,0.19,0.73,0.27,38.5
1972,1972,365,812.9,192.8,24.58,92.8,579.4,229.4,1208,18.3,3.73,14.5,0.259,0.102,0.514,0,0,0,0,0,0,0.516,0.2,0.21,0.26,0.34,0,0,0,3.8,0.2,0.79,0.21,44.4
1973,1973,365,942.1,192.8,24.9,107.5,1117,209.3,2840,35.2,5.3,19.8,0.246,0.0599,0.528,0,0,0,0,0,0,0.597,0.44,0.093,0.17,0.3,0,0,0,15.4,0.15,0.56,0.44,26.8
1974,1974,365,882,192.8,27.54,100.7,1596,220.5,5415,50.3,6.26,20.7,0.236,0.0446,0.476,0,0,0,0,0,0,0.559,0.45,0.085,0.2,0.26,0,0,0,29.6,0.12,0.41,0.59,17.5
1975,1975,366,863.3,192.8,28.85,98.28,1561,239.6,5434,49.4,6.25,20,0.234,0.0443,0.459,0,0,0,0,0,0,0.548,0.4,0.12,0.3,0.18,0,0,0,29.4,0.13,0.4,0.6,17.5
1976,1976,365,982.4,192.8,44.5,112.1,1133,335.5,2831,35.7,5.64,20.4,0.227,0.0764,0.427,0,0,0,0,0,0,0.623,0.4,0.1,0.45,0.044,0,0,0,15.3,0.16,0.57,0.43,27.5
1977,1977,365,902.6,192.8,0,103,1882,273.8,6348,59.4,6.47,23.2,0.199,0.0443,0.423,0,0,35,0,0,0.096,0.572,0.53,0.12,0.2,0.15,0,35,0.0958904109589041,36.2,0.11,0.39,0.61,15.2
1978,1978,365,1034,192.8,43.26,118,1480,338.3,5326,46.7,6.23,22.6,0.204,0.0554,0.443,0,0,0,0,0,0,0.656,0.46,0.16,0.35,0.022,0,0,0,24.1,0.13,0.48,0.52,22.1
1979,1979,366,1025,192.8,38.95,116.7,1304,311.8,3068,41.2,5.71,22,0.217,0.0624,0.445,0,0,0,0,0,0,0.65,0.46,0.13,0.29,0.12,0,0,0,19.2,0.14,0.53,0.47,24.9
1980,1980,365,942.4,192.8,33.93,107.6,1151,283.6,3452,36.3,5.69,19.7,0.242,0.0609,0.475,0,0,0,0,0,0,0.598,0.37,0.14,0.31,0.19,0,0,0,16.6,0.16,0.54,0.46,26
1981,1981,365,805.1,192.8,27.81,91.9,588.6,243.3,1437,18.6,3.88,14.5,0.266,0.0873,0.485,0,0,0,0,0,0,0.511,0.19,0.16,0.3,0.35,0,0,0,4.1,0.21,0.78,0.22,43.3
1982,1982,365,851.9,185.3,22.94,97.25,605.6,222.3,1117,19.1,3.9,15.2,0.255,0.114,0.531,0,0,0,0,0,0,0.54,0.22,0.2,0.26,0.32,0,0,0,3.9,0.2,0.8,0.2,44.6
1983,1983,366,811.6,192.8,25.55,92.39,652.8,212.1,1808,20.6,3.74,15.2,0.256,0.0716,0.457,0,0,0,0,0,0,0.515,0.23,0.15,0.24,0.38,0,0,0,5.4,0.18,0.74,0.26,39.4
1984,1984,365,858.1,192.8,23.89,97.96,727.8,199.1,1953,23,4.31,16.3,0.267,0.0772,0.534,0,0,0,0,0,0,0.544,0.28,0.15,0.21,0.37,0,0,0,6.7,0.19,0.71,0.29,37.3
1985,1985,365,780.3,192.8,0,89.07,748.9,201.2,3050,23.6,4.3,15.1,0.273,0.0511,0.526,0,5,0,0,0.014,0,0.495,0.26,0.11,0.22,0.41,0,5,0.0136986301369863,8.5,0.18,0.64,0.36,33.1
1986,1986,365,921,192.8,26.97,105.1,793.3,239.6,2077,25,4.53,17.6,0.25,0.0733,0.513,0,0,0,0,0,0,0.584,0.29,0.19,0.29,0.23,0,0,0,7.4,0.18,0.7,0.3,36.8
1987,1987,366,851.1,192.8,25.79,96.89,773.6,224.7,2467,24.5,4.57,16.5,0.27,0.0614,0.513,0,0,0,0,0,0,0.54,0.34,0.058,0.25,0.35,0,0,0,8,0.19,0.67,0.33,34.7
1988,1988,365,865.7,192.8,24.9,98.82,1328,209.3,3812,41.9,5.87,19.3,0.25,0.0629,0.511,0,0,0,0,0,0,0.549,0.4,0.093,0.22,0.28,0,0,0,22.6,0.14,0.46,0.54,20.7
1989,1989,365,756.6,168.9,26.99,86.37,534.8,212.1,1028,16.9,3.51,13.4,0.259,0.114,0.449,0,0,0,0,0,0,0.48,0.15,0.25,0.2,0.41,0,0,0,3.5,0.21,0.79,0.21,44.8
1990,1990,365,798.8,192.8,0,91.19,771,199.1,2294,24.3,3.92,15.9,0.253,0.0772,0.487,0,16,0,0,0.044,0,0.507,0.3,0.085,0.22,0.39,0,16,0.043835616438356165,8.4,0.16,0.65,0.35,32.9
1991,1991,366,686.2,156.8,22.71,78.12,479.1,175,905.4,15.2,3.28,11.9,0.262,0.118,0.411,0,0,0,0,0,0,0.435,0.016,0.33,0.24,0.42,0,0,0,3.3,0.22,0.78,0.22,45.1
1992,1992,365,784.6,192.8,0,89.57,873.3,163.9,3573,27.5,4.17,16,0.239,0.0595,0.457,0,3,0,0,0.0082,0,0.498,0.3,0.082,0.23,0.38,0,3,0.00821917808219178,11.5,0.15,0.58,0.42,28.5
1993,1993,365,707.4,192.8,0,80.75,575,155.9,1839,18.1,3.5,13.2,0.275,0.0874,0.463,0,3,0,0,0.0082,0,0.449,0.21,0.11,0.18,0.5,0,3,0.00821917808219178,4.9,0.19,0.73,0.27,39.1
1994,1994,365,558.9,192.8,0,63.81,410.2,132.9,1232,12.9,2.87,10.1,0.295,0.101,0.542,0,20,0,0,0.055,0,0.354,0.12,0.077,0.23,0.57,0,20,0.0547945205479452,2.8,0.22,0.78,0.22,43.3
1995,1995,366,494.3,140.2,0,56.27,359.9,115,819.3,11.4,2.87,8.51,0.306,0.153,0.532,0,20,0,0,0.055,0,0.313,0,0.17,0.26,0.57,0,20,0.0547945205479452,2.89,0.25,0.75,0.25,43.4
1996,1996,365,745,192.8,0,85.05,547.2,102.7,1400,17.3,3.15,13.8,0.257,0.0903,0.497,0,23,0,0,0.063,0,0.473,0.23,0.13,0.19,0.45,0,23,0.06301369863013699,3.5,0.18,0.8,0.2,43.1
1997,1997,365,806.5,192.8,20.28,92.06,1091,156.6,3525,34.4,5.05,17.4,0.243,0.0534,0.563,0,0,0,0,0,0,0.511,0.34,0.11,0.19,0.36,0,0,0,17,0.15,0.51,0.49,23.4
1998,1998,365,818,192.8,0,93.38,1055,173.8,3421,33.3,4.85,17.4,0.248,0.0634,0.562,0,4,0,0,0.011,0,0.519,0.35,0.12,0.19,0.35,0,4,0.010958904109589041,15.9,0.15,0.52,0.48,24.6
1999,1999,366,781.4,192.8,0,88.96,858,193.6,3411,27.1,4.2,15.8,0.243,0.0469,0.47,0,7,0,0,0.019,0,0.496,0.27,0.12,0.23,0.38,0,7,0.019178082191780823,11.3,0.15,0.58,0.42,28.8
2000,2000,365,841.3,192.8,19.89,96.04,1217,140,3677,38.4,5.3,18.5,0.236,0.0626,0.492,0,0,0,0,0,0,0.534,0.38,0.096,0.2,0.32,0,0,0,19.9,0.14,0.48,0.52,21.9
2001,2001,365,860.4,192.8,0,98.22,794.8,195.1,2029,25.1,4.63,16.9,0.269,0.0766,0.529,0,16,0,0,0.044,0,0.546,0.3,0.14,0.25,0.31,0,16,0.043835616438356165,8.2,0.18,0.67,0.33,34.3
2002,2002,365,847.9,192.8,0,96.8,1073,193.6,3846,33.8,5.25,18.1,0.255,0.0623,0.522,0,21,0,0,0.058,0,0.538,0.38,0.11,0.18,0.34,0,21,0.057534246575342465,15.7,0.16,0.54,0.46,25.1
2003,2003,366,831.9,192.8,0,94.71,1317,189.2,4339,41.7,5.64,18.7,0.248,0.0551,0.502,0,8,0,0,0.022,0,0.528,0.39,0.096,0.19,0.33,0,8,0.021917808219178082,23,0.14,0.45,0.55,19.9
2004,2004,365,852.8,192.8,0,97.35,631.6,193.6,1337,19.9,3.7,16.1,0.254,0.098,0.484,0,19,0,0,0.052,0,0.541,0.3,0.12,0.24,0.35,0,19,0.052054794520547946,3.8,0.19,0.81,0.19,42.9
2005,2005,365,870.6,192.8,20.19,99.38,960.1,156.6,2684,30.3,4.93,17.9,0.252,0.0796,0.537,0,0,0,0,0,0,0.552,0.38,0.088,0.19,0.35,0,0,0,12.4,0.16,0.59,0.41,28.7
2006,2006,365,861.5,192.8,25.87,98.34,1457,210.1,4543,46,6.06,19.8,0.247,0.0434,0.502,0,0,0,0,0,0,0.546,0.42,0.082,0.22,0.27,0,0,0,26.2,0.13,0.43,0.57,18.7
2007,2007,366,917.5,192.8,27.06,104.5,1300,236.8,3367,41.1,5.63,20.3,0.245,0.0551,0.492,0,0,0,0,0,0,0.582,0.45,0.085,0.18,0.29,0,0,0,20.8,0.14,0.49,0.51,22.3
2008,2008,365,830.5,192.8,0,94.81,1504,181.6,5796,47.4,6,20,0.242,0.0412,0.487,0,6,17,0,0.016,0.047,0.527,0.44,0.088,0.18,0.3,0,23,0.06301369863013699,27.4,0.13,0.42,0.58,17.5
2009,2009,365,889.1,192.8,25.87,101.5,1685,213.4,5149,53.2,6.38,21.1,0.228,0.0474,0.468,0,0,0,0,0,0,0.564,0.46,0.096,0.24,0.2,0,0,0,32.1,0.12,0.4,0.6,16.7
2010,2010,365,898.3,192.8,25.4,102.5,1682,224.7,4356,53,6.38,21.4,0.229,0.0518,0.489,0,0,0,0,0,0,0.57,0.49,0.071,0.21,0.22,0,0,0,31.6,0.12,0.4,0.6,16.9
2011,2011,366,929.4,192.8,29.73,105.8,1210,243.5,3544,38.3,5.68,19.9,0.245,0.0626,0.541,0,0,0,0,0,0,0.589,0.43,0.079,0.22,0.27,0,0,0,18.4,0.15,0.52,0.48,24.3
2012,2012,365,866.2,192.8,25.23,98.88,1337,223.3,3615,42.1,5.48,19.5,0.249,0.0558,0.508,0,0,0,0,0,0,0.549,0.42,0.082,0.16,0.33,0,0,0,22.6,0.13,0.46,0.54,20.6
2013,2013,365,944.4,192.8,0,107.8,1341,195.1,3575,42.3,5.98,21,0.237,0.0564,0.497,0,16,0,0,0.044,0,0.599,0.46,0.13,0.17,0.25,0,16,0.043835616438356165,21.3,0.14,0.5,0.5,22.3
2014,2014,365,901.6,192.8,26.22,102.9,697.1,208.8,1460,22,4.44,17,0.275,0.0999,0.547,0,0,0,0,0,0,0.572,0.33,0.11,0.21,0.35,0,0,0,5,0.2,0.77,0.23,41
2015,2015,366,806.2,192.8,22.75,91.78,1013,176.2,2976,32,4.76,17,0.248,0.0673,0.497,0,0,0,0,0,0,0.511,0.33,0.096,0.2,0.38,0,0,0,15,0.15,0.53,0.47,25.2
2016,2016,365,873.4,192.8,19.81,99.7,1082,156.6,3890,34.1,4.88,18.5,0.241,0.0474,0.487,0,0,0,0,0,0,0.554,0.43,0.036,0.19,0.35,0,0,0,15.6,0.14,0.54,0.46,25.6
