date,waterYear,waterMonth,energy
1998-11-23,1998,2,319.3157209342845
1998-11-24,1998,2,0
1998-11-25,1998,2,0
1998-11-26,1998,2,325.12377740477365
1998-11-27,1998,2,342.853780999748
1998-11-28,1998,2,356.8040188806238
1998-11-29,1998,2,354.8193740496152
1998-11-30,1998,2,360.8596199137515
1998-12-01,1998,3,0
1998-12-02,1998,3,327.2584253788316
1998-12-03,1998,3,344.95795525956174
1998-12-04,1998,3,371.11197015154653
1998-12-05,1998,3,389.5860940965996
1998-12-06,1998,3,419.81286857917013
1998-12-07,1998,3,426.28106218325075
1998-12-08,1998,3,435.5624547393046
1998-12-09,1998,3,444.9787808394379
1998-12-10,1998,3,451.694191264311
1998-12-11,1998,3,463.74825131506293
1998-12-12,1998,3,467.76577532599083
1998-12-13,1998,3,458.3586666396493
1998-12-14,1998,3,467.76577532599083
1998-12-15,1998,3,469.0886249200764
1998-12-16,1998,3,473.1062867061724
1998-12-17,1998,3,477.1242767509735
1998-12-18,1998,3,481.1427884920296
1998-12-19,1998,3,496.09865352714814
1998-12-20,1998,3,500.1625613060339
1998-12-21,1998,3,496.09865352714814
1998-12-22,1998,3,502.8847936469639
1998-12-23,1998,3,528.8453035103902
1998-12-24,1998,3,559.1275277641078
1998-12-25,1998,3,588.981410202243
1998-12-26,1998,3,619.1182572737862
1998-12-27,1998,3,649.4225067718899
1998-12-28,1998,3,679.7007761015464
1998-12-29,1998,3,696.8039243281407
1998-12-30,1998,3,710.8134202716828
1998-12-31,1998,3,737.3721880411126
1999-01-01,1998,4,687.681708674017
1999-01-02,1998,4,722.1616253005107
1999-01-03,1998,4,753.6862737041471
1999-01-04,1998,4,776.2393863464341
1999-01-05,1998,4,798.8776649955694
1999-01-06,1998,4,821.3208374355079
1999-01-07,1998,4,831.6977137007938
1999-01-08,1998,4,865.8687424822479
1999-01-09,1998,4,912.6579746736795
1999-01-10,1998,4,963.0961555968693
1999-01-11,1998,4,1018.1059704405723
1999-01-12,1998,4,1068.3619677225488
1999-01-13,1998,4,1115.1195395196883
1999-01-14,1998,4,1156.8000000000002
1999-01-15,1998,4,1156.8000000000002
1999-01-16,1998,4,1222.6982077854357
1999-01-17,1998,4,1268.0853798072462
1999-01-18,1998,4,1301.826913716323
1999-01-19,1998,4,1337.6623712233788
1999-01-20,1998,4,1381.778703859595
1999-01-21,1998,4,1425.871289345474
1999-01-22,1998,4,1472.745376712554
1999-01-23,1998,4,1519.5921323566122
1999-01-24,1998,4,1560.7550250339784
1999-01-25,1998,4,1609.6153949974664
1999-01-26,1998,4,1655.4339033238134
1999-01-27,1998,4,1690.024297988854
1999-01-28,1998,4,1721.9233273338752
1999-01-29,1998,4,1752.6966266407078
1999-01-30,1998,4,1784.3986437396732
1999-01-31,1998,4,1837.2349092099266
1999-02-01,1998,5,1840.4727422738572
1999-02-02,1998,5,1925.8109701320666
1999-02-03,1998,5,2015.8029392023184
1999-02-04,1998,5,2111.9747514231044
1999-02-05,1998,5,2202.8063298591396
1999-02-06,1998,5,2292.9219679714743
1999-02-07,1998,5,2313.6000000000004
1999-02-08,1998,5,2453.8082571914033
1999-02-09,1998,5,2553.9727117209395
1999-02-10,1998,5,2658.380243700747
1999-02-11,1998,5,2767.81966460588
1999-02-12,1998,5,2857.9806744238576
1999-02-13,1998,5,2923.7254687777718
1999-02-14,1998,5,2991.1121711808264
1999-02-15,1998,5,3044.6110519275912
1999-02-16,1998,5,3081.2638943484303
1999-02-17,1998,5,3110.661329758827
1999-02-18,1998,5,3137.6365961610163
1999-02-19,1998,5,3178.497734483877
1999-02-20,1998,5,3216.852490940917
1999-02-21,1998,5,3241.1313384821938
1999-02-22,1998,5,3269.9173167730605
1999-02-23,1998,5,3294.0642065293896
1999-02-24,1998,5,3328.8084338201857
1999-02-25,1998,5,3358.8429096753725
1999-02-26,1998,5,3371.224042976543
1999-02-27,1998,5,3385.550413701406
1999-02-28,1998,5,3401.219406349939
1999-03-01,1998,6,3211.1272034373046
1999-03-02,1998,6,3242.3566497746133
1999-03-03,1998,6,3289.1394760968024
1999-03-04,1998,6,3337.3681621037986
1999-03-05,1998,6,3387.9780548195613
1999-03-06,1998,6,3440.5175945665533
1999-03-07,1998,6,3470.4000000000005
1999-03-08,1998,6,3470.4000000000005
1999-03-09,1998,6,3470.4000000000005
1999-03-10,1998,6,3470.4000000000005
1999-03-11,1998,6,3470.4000000000005
1999-03-12,1998,6,3470.4000000000005
1999-03-13,1998,6,3470.4000000000005
1999-03-14,1998,6,3470.4000000000005
1999-03-15,1998,6,3470.4000000000005
1999-03-16,1998,6,3470.4000000000005
1999-03-17,1998,6,3701.917753286026
