Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.86,154,16.1,11800,22.4,92.3,21.3,0.705,0.151,0.14,0.54,0.19,24.2,0
0.87,152,15.5,11400,22.2,90.1,21,0.656,0.146,0.13,0.53,0.18,22.6,0
0.88,150,14.9,11000,22.1,85.4,20.8,0.576,0.137,0.13,0.52,0.18,20.6,0
0.89,146,13.7,10000,21.8,77.6,20.5,0.552,0.127,0.12,0.51,0.18,19.7,0
0.9,143,11,8190,21.5,74.6,20.1,0.515,0.123,0.12,0.49,0.17,18,0
0.91,138,9.31,6560,21.2,70.2,19.6,0.419,0.116,0.12,0.473,0.17,15.5,0
0.92,136,6.79,5050,20.9,63.3,19.3,0.282,0.107,0.12,0.46,0.16,12.9,0
0.93,128,4.44,3310,20.6,57.1,18.9,0.231,0.101,0.111,0.431,0.16,10.1,0
0.94,122,2.35,1710,20.5,53.1,18.7,0.118,0.0978,0.11,0.377,0.16,4.99,0
0.95,115,0,0,20.4,44.4,18.6,0,0.0843,0.0999,0.31,0.15,0,0
0.96,111,0,0,20.1,20.4,18.4,0,0.0795,0.098,0.144,0.15,0,0
0.97,102,0,0,19.7,10.4,17.8,0,0.0738,0.096,0.0899,0.14,0,0
0.98,96.8,0,0,19.1,0,17.2,0,0.0708,0.0912,0,0.13,0,0
0.99,79.1,0,0,18.4,0,16.5,0,0.0708,0.082,0,0.13,0,0
1,56.3,0,0,17.1,0,15.3,0,0.0708,0.072,0,0.12,0,0
