waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1934,365,916.2,192.8,0,104.6,958.2,176.4,3258,30.2,4.13,18.6,0.216,0.0599,0.438,0,5,0,0,0.014,0,0.581,0.36,0.12,0.23,0.28,0,5,0.0136986301369863,11.6,0.14,0.62,0.38,30.3,0.32803030303030284,0.03175675675675681,-0.13467048710601717,-0.13675675675675672
1935,366,870.3,192.8,25.3,99.08,817.8,188.8,2496,25.9,3.63,17.1,0.206,0.0526,0.397,0,0,0,0,0,0,0.552,0.31,0.13,0.25,0.32,0,0,0,8.8,0.14,0.66,0.34,33.6,0.6162162162162166,-0.019932432432432482,-0.25787965616045844,-0.2632432432432433
1936,365,893,192.8,27.72,101.9,1205,203.8,3635,38,4.77,19.3,0.211,0.0426,0.468,0,0,0,0,0,0,0.566,0.4,0.099,0.23,0.27,0,0,0,18.7,0.13,0.51,0.49,23.5,0.5166666666666669,0.00563063063063063,0.08882521489971351,0.08558558558558559
1937,365,899.4,192.8,31.18,102.7,836.5,223.4,3237,26.4,3.76,17.5,0.218,0.038,0.476,0,0,0,0,0,0,0.57,0.32,0.14,0.24,0.3,0,0,0,8.9,0.14,0.66,0.34,34.1,0.4537500000000009,0.012837837837837813,-0.24355300859598855,-0.2463963963963964
1938,365,880.9,192.8,30.41,100.6,886.2,216.8,2874,27.9,3.91,17.5,0.217,0.058,0.423,0,0,0,0,0,0,0.559,0.33,0.13,0.26,0.28,0,0,0,10.4,0.14,0.63,0.37,31.6,0.5724832214765103,-0.007995495495495521,-0.2005730659025788,-0.2016216216216216
1939,366,951.6,192.8,29.83,108.3,1357,213,5307,42.9,5.11,20.7,0.209,0.041,0.452,0,0,0,0,0,0,0.604,0.44,0.15,0.18,0.24,0,0,0,22.2,0.12,0.48,0.52,22.2,0.19799999999999993,0.07162162162162165,0.22922636103151864,0.22252252252252253
1940,365,924.9,192.8,27.48,105.6,961.7,223.4,3334,30.3,4.01,18.7,0.203,0.048,0.448,0,0,0,0,0,0,0.587,0.38,0.077,0.32,0.22,0,0,0,11.6,0.13,0.62,0.38,30.5,0.2940366972477066,0.041554054054054025,-0.13180515759312314,-0.13360360360360357
1941,365,812,192.8,25.78,92.69,656.2,188.8,2220,20.7,3.06,15.2,0.215,0.0554,0.393,0,0,0,0,0,0,0.515,0.25,0.13,0.25,0.37,0,0,0,5.5,0.15,0.73,0.27,39.2,0.8720994475138121,-0.08558558558558559,-0.4068767908309456,-0.40882882882882876
1942,365,864.1,192.8,28.95,98.64,673.5,170.2,1669,21.2,3.13,16.2,0.201,0.0737,0.389,0,0,0,0,0,0,0.548,0.27,0.13,0.27,0.32,0,0,0,5,0.15,0.76,0.24,40.8,0.6566666666666663,-0.02691441441441439,-0.39255014326647564,-0.3932432432432432
1943,366,902.1,192.8,26.39,102.7,934.2,176.4,2529,29.5,3.96,18.3,0.204,0.0698,0.381,0,0,0,0,0,0,0.572,0.38,0.11,0.19,0.33,0,0,0,11.2,0.13,0.62,0.38,30.6,0.41363636363636347,0.015878378378378404,-0.15472779369627504,-0.15837837837837834
1944,365,853.8,192.8,29.35,97.46,1005,195.3,3909,31.7,4.15,17.6,0.213,0.0522,0.473,0,0,0,0,0,0,0.541,0.33,0.12,0.23,0.32,0,0,0,14.1,0.13,0.56,0.44,26.9,0.7181159420289855,-0.038513513513513564,-0.09169054441260743,-0.0945945945945946
1945,365,927.9,192.8,27.16,105.9,687.4,197.9,1571,21.7,3.39,17.4,0.217,0.0795,0.397,0,0,0,0,0,0,0.588,0.38,0.082,0.2,0.33,0,0,0,4.3,0.16,0.8,0.2,42.8,0.2802752293577983,0.044932432432432404,-0.37822349570200575,-0.3807207207207207
1946,365,891,192.8,31.23,101.7,1252,196.6,4776,39.5,4.71,19.2,0.199,0.0405,0.415,0,0,0,0,0,0,0.565,0.37,0.14,0.25,0.24,0,0,0,20.3,0.12,0.49,0.51,22.6,0.5290123456790126,0.0033783783783783786,0.13180515759312325,0.12792792792792793
1947,366,801.9,192.8,0,91.29,1722,259.4,6157,54.5,5.41,20.8,0.195,0.0343,0.406,0,0,37,0,0,0.1,0.509,0.43,0.12,0.23,0.21,0,37,0.10136986301369863,33.7,0.099,0.38,0.62,14.7,0.9,-0.09695945945945948,0.5616045845272207,0.5513513513513514
1948,365,701.4,160.2,27.69,80.07,468.3,196.6,919.2,14.8,2.77,12,0.216,0.106,0.371,0,0,0,0,0,0,0.445,0.058,0.21,0.47,0.27,0,0,0,2.8,0.19,0.81,0.19,47.4,0.9631930693069307,-0.21013513513513515,-0.5759312320916905,-0.5781081081081082
1949,365,804.9,192.8,24.87,91.88,1388,170.2,5234,43.8,4.62,18.5,0.202,0.0264,0.461,0,0,0,0,0,0,0.51,0.37,0.11,0.18,0.33,0,0,0,25.3,0.11,0.42,0.58,18.4,0.8917127071823204,-0.09358108108108111,0.25501432664756446,0.25045045045045045
1950,365,901.2,192.8,0,102.9,1237,196.6,4481,39,4.77,19.5,0.207,0.0463,0.421,0,2,0,0,0.0055,0,0.572,0.38,0.15,0.24,0.23,0,2,0.005479452054794521,19.5,0.12,0.5,0.5,23.1,0.42727272727272697,0.014864864864864916,0.11747851002865334,0.11441441441441441
1951,366,856,192.8,0,97.45,1606,254.6,6157,50.8,4.85,20.9,0.194,0.0334,0.414,0,0,20,0,0,0.055,0.543,0.46,0.055,0.27,0.21,0,20,0.0547945205479452,29.9,0.095,0.41,0.59,16.9,0.7021739130434779,-0.036036036036036036,0.45558739255014324,0.44684684684684683
1952,365,869.6,192.8,0,99.27,1504,216.8,5874,47.4,5.15,20.2,0.198,0.0392,0.406,0,0,11,0,0,0.03,0.551,0.41,0.13,0.29,0.18,0,11,0.030136986301369864,27.2,0.11,0.43,0.57,18.3,0.6209459459459459,-0.020720720720720696,0.35816618911174786,0.35495495495495494
1953,365,960.1,192.8,31.62,109.6,1111,256.9,3835,35,4.7,19.9,0.211,0.0507,0.455,0,0,0,0,0,0,0.609,0.4,0.15,0.19,0.27,0,0,0,15.1,0.13,0.57,0.43,27.4,0.16966666666666658,0.08119369369369372,0.0028653295128940235,0.0009009009009009009
1954,365,974.1,192.8,29.57,111.2,1293,211.9,3818,40.8,5.05,21.1,0.203,0.0519,0.411,0,0,0,0,0,0,0.618,0.47,0.096,0.22,0.21,0,0,0,19.7,0.12,0.52,0.48,23.9,0.11954887218045093,0.09695945945945948,0.16905444126074495,0.16486486486486487
1955,366,903,192.8,0,102.8,1785,250.3,5744,56.5,5.35,22.2,0.174,0.0442,0.356,0,0,16,0,0,0.044,0.573,0.47,0.14,0.26,0.13,0,16,0.043835616438356165,34.3,0.095,0.39,0.61,16,0.4,0.016891891891891893,0.6189111747851004,0.6081081081081081
1956,365,840,192.8,0,95.89,1535,290,9124,48.4,5.03,19.6,0.202,0.0231,0.434,0,0,27,0,0,0.074,0.533,0.34,0.19,0.32,0.15,0,27,0.07397260273972603,28.8,0.1,0.4,0.6,17.4,0.7856060606060608,-0.05405405405405406,0.3868194842406877,0.38288288288288286
1957,365,786.4,192.8,0,89.77,2342,283.2,9912,73.9,5.36,22.2,0.178,0.0169,0.364,0,0,61,0,0,0.17,0.499,0.47,0.1,0.33,0.09,0,61,0.16712328767123288,51.7,0.073,0.3,0.7,10.6,0.9164194915254238,-0.11441441441441444,1.1174785100286535,1.10990990990991
1958,365,998.5,192.8,31.83,114,1117,242.4,4514,35.2,4.7,20.4,0.201,0.046,0.413,0,0,0,0,0,0,0.633,0.4,0.16,0.32,0.12,0,0,0,14.8,0.13,0.58,0.42,28.4,0.07751756440281028,0.12443693693693694,0.008595988538682072,0.006306306306306306
1959,366,874.8,192.8,0,99.59,1150,197.9,4776,36.4,4.72,18.6,0.224,0.0504,0.461,0,6,0,0,0.016,0,0.555,0.35,0.15,0.21,0.29,0,6,0.01643835616438356,17.8,0.13,0.51,0.49,24,0.5929530201342285,-0.014864864864864916,0.042979942693409746,0.036036036036036036
1960,365,855.2,192.8,0,97.63,1488,203.8,6098,46.9,5.13,20.3,0.198,0.03,0.393,0,0,24,0,0,0.066,0.542,0.41,0.15,0.29,0.16,0,24,0.06575342465753424,26.6,0.11,0.43,0.57,18.2,0.7079710144927529,-0.036936936936936886,0.34383954154727797,0.34054054054054056
1961,365,925.4,192.8,0,105.6,1752,263.1,5641,55.2,5.61,22.5,0.18,0.0403,0.353,0,0,15,0,0,0.041,0.587,0.49,0.12,0.28,0.11,0,15,0.0410958904109589,32.7,0.1,0.41,0.59,16.8,0.29174311926605523,0.04211711711711709,0.5816618911174787,0.5783783783783784
1962,365,867.3,192.8,0,99.01,2119,283.2,7037,66.8,5.71,23.7,0.168,0.0325,0.353,0,0,47,0,0,0.13,0.55,0.54,0.093,0.3,0.071,0,47,0.12876712328767123,43.1,0.085,0.35,0.65,13,0.6364864864864866,-0.02331081081081086,0.9140401146131805,0.909009009009009
1963,366,1081,192.8,39.44,123.1,1030,290,2464,32.6,4.45,21.6,0.189,0.0649,0.446,0,0,0,0,0,0,0.686,0.46,0.14,0.32,0.088,0,0,0,11,0.14,0.66,0.34,33.2,0,0.21734234234234234,-0.06590257879656153,-0.07207207207207207
1964,365,951.6,192.8,38.72,108.6,976,261.9,2747,30.8,4.36,19.1,0.211,0.0602,0.401,0,0,0,0,0,0,0.604,0.37,0.12,0.3,0.21,0,0,0,11.7,0.14,0.62,0.38,30.9,0.19799999999999993,0.07162162162162165,-0.11747851002865324,-0.12072072072072072
1965,365,910,192.8,0,103.9,1224,246.5,5489,38.6,4.79,19.5,0.21,0.0295,0.406,0,0,3,0,0,0.0082,0.577,0.38,0.13,0.31,0.18,0,3,0.00821917808219178,19.1,0.12,0.51,0.49,23.6,0.35270270270270254,0.024774774774774775,0.10601719197707744,0.10270270270270271
1966,365,950.6,192.8,37.32,108.5,982.9,263.1,3456,31,4.39,19.1,0.205,0.053,0.422,0,0,0,0,0,0,0.603,0.37,0.14,0.27,0.21,0,0,0,11.9,0.14,0.62,0.38,30.7,0.20121212121212115,0.07049549549549552,-0.11174785100286529,-0.11450450450450453
1967,366,916.5,192.8,0,104.3,1872,254.6,5594,59.2,5.52,22.6,0.177,0.0315,0.379,0,0,9,0,0,0.025,0.581,0.48,0.13,0.3,0.093,0,9,0.024657534246575342,36.6,0.093,0.38,0.62,15.5,0.32689393939393935,0.03209459459459459,0.696275071633238,0.6864864864864865
1968,365,842.1,192.8,0,96.13,2160,281.5,8558,68.1,5.76,23,0.167,0.03,0.316,0,0,61,0,0,0.17,0.534,0.47,0.19,0.25,0.085,0,61,0.16712328767123288,45.1,0.085,0.34,0.66,12.4,0.7776515151515151,-0.05168918918918916,0.9512893982808022,0.9459459459459459
1969,365,1046,192.8,48.2,119.4,1563,337.2,4991,49.3,5.29,23.1,0.172,0.0361,0.372,0,0,0,0,0,0,0.664,0.48,0.15,0.35,0.016,0,0,0,26.2,0.11,0.47,0.53,21.2,0.029661016949152543,0.17792792792792791,0.4126074498567335,0.4081081081081081
1970,365,1022,192.8,47.31,116.6,1086,321.2,3153,34.2,4.52,20.8,0.194,0.063,0.406,0,0,0,0,0,0,0.648,0.42,0.14,0.36,0.077,0,0,0,13.4,0.13,0.61,0.39,29.9,0.05,0.15090090090090091,-0.02005730659025776,-0.021621621621621623
1971,366,998.9,192.8,41.6,113.7,787.8,276.2,1856,24.9,4.06,18.9,0.209,0.0663,0.44,0,0,0,0,0,0,0.633,0.31,0.21,0.32,0.16,0,0,0,6,0.16,0.76,0.24,40.1,0.07704918032786885,0.12488738738738736,-0.2865329512893983,-0.2902702702702703
1972,365,859.1,192.8,28.71,98.07,592.6,228.7,1241,18.7,3.23,15.4,0.216,0.0822,0.437,0,0,0,0,0,0,0.545,0.21,0.21,0.33,0.25,0,0,0,3.3,0.17,0.82,0.18,45.9,0.6844444444444441,-0.03254504504504502,-0.46418338108882523,-0.4661261261261261
1973,365,978.4,192.8,28.7,111.7,1126,208.1,2854,35.5,4.57,20.5,0.206,0.051,0.443,0,0,0,0,0,0,0.62,0.46,0.093,0.2,0.25,0,0,0,15,0.13,0.58,0.42,27.6,0.10338345864661647,0.10180180180180178,0.01719197707736394,0.014414414414414415
1974,365,899.7,192.8,0,102.7,1612,216.8,5518,50.8,5.39,21.4,0.197,0.0387,0.411,0,0,9,0,0,0.025,0.571,0.45,0.12,0.21,0.22,0,9,0.024657534246575342,29.4,0.11,0.42,0.58,17.7,0.45,0.013175675675675727,0.45558739255014324,0.45225225225225224
1975,366,897.6,192.8,0,102.2,1583,239.5,5537,50.1,5.38,20.8,0.192,0.0384,0.375,0,0,3,0,0,0.0082,0.569,0.41,0.16,0.27,0.17,0,3,0.00821917808219178,29.3,0.11,0.42,0.58,17.9,0.4762500000000003,0.010810810810810836,0.43553008595988546,0.4261261261261261
1976,365,1027,192.8,48.2,117.2,1143,337.2,2845,36,4.86,21.2,0.188,0.066,0.365,0,0,0,0,0,0,0.651,0.41,0.13,0.44,0.014,0,0,0,14.8,0.14,0.59,0.41,28.5,0.04576271186440678,0.15653153153153154,0.03151862464183385,0.02972972972972973
1977,365,934.2,192.8,0,106.6,1899,273.3,6342,59.9,5.57,23.9,0.164,0.0384,0.342,0,0,38,0,0,0.1,0.592,0.55,0.13,0.22,0.11,0,38,0.10410958904109589,36,0.093,0.4,0.6,15.6,0.2513761467889906,0.05202702702702708,0.7163323782234957,0.7108108108108108
1978,365,1080,192.8,48.2,123.3,1498,341.6,5397,47.3,5.37,23.5,0.168,0.0476,0.369,0,0,0,0,0,0,0.685,0.48,0.19,0.32,0.011,0,0,0,23.8,0.11,0.5,0.5,22.8,0.0008474576271186446,0.21621621621621623,0.3553008595988538,0.34954954954954953
1979,366,1066,192.8,44.96,121.3,1317,313.5,3065,41.6,4.9,22.8,0.179,0.0543,0.383,0,0,0,0,0,0,0.676,0.47,0.15,0.35,0.027,0,0,0,18.8,0.12,0.55,0.45,25.6,0.012711864406779662,0.20045045045045046,0.19197707736389694,0.1864864864864865
1980,365,989,192.8,39.44,112.9,1159,283.2,3456,36.6,4.9,20.5,0.201,0.0532,0.397,0,0,0,0,0,0,0.627,0.41,0.15,0.34,0.11,0,0,0,16.1,0.13,0.56,0.44,27,0.08864168618266975,0.11373873873873874,0.04871060171919779,0.044144144144144144
1981,365,851.7,192.8,31.83,97.22,599,242.4,1435,18.9,3.33,15.3,0.222,0.0719,0.417,0,0,0,0,0,0,0.54,0.21,0.19,0.29,0.31,0,0,0,3.6,0.18,0.81,0.19,45.1,0.7333333333333327,-0.04087837837837833,-0.4584527220630373,-0.4603603603603604
1982,365,905.3,191.7,26.87,103.3,616.1,220.7,1140,19.4,3.24,16.2,0.209,0.0908,0.453,0,0,0,0,0,0,0.574,0.24,0.23,0.27,0.25,0,0,0,3.2,0.17,0.84,0.16,46.7,0.38445945945945975,0.019481981981981932,-0.44412607449856734,-0.44495495495495496
1983,366,854.6,192.8,29.57,97.29,658.1,211.9,1780,20.8,3.13,15.9,0.211,0.0608,0.381,0,0,0,0,0,0,0.542,0.26,0.14,0.3,0.31,0,0,0,4.9,0.15,0.76,0.24,41.1,0.7123188405797096,-0.03761261261261259,-0.40401146131805155,-0.4071171171171171
1984,365,899.7,192.8,28.06,102.7,733.1,201.4,1930,23.1,3.67,17.1,0.222,0.0651,0.462,0,0,0,0,0,0,0.571,0.29,0.15,0.23,0.33,0,0,0,6,0.16,0.74,0.26,38.9,0.45,0.013175675675675727,-0.3381088825214899,-0.3395495495495495
1985,365,821.1,192.8,27.72,93.73,756.4,203.8,3038,23.9,3.75,15.8,0.23,0.0424,0.455,0,0,0,0,0,0,0.521,0.27,0.13,0.26,0.35,0,0,0,8.1,0.16,0.66,0.34,34.4,0.8466049382716049,-0.07533783783783782,-0.31518624641833815,-0.3185585585585586
1986,365,972.1,192.8,31.18,111,801.3,239.5,2073,25.3,3.84,18.5,0.207,0.0612,0.443,0,0,0,0,0,0,0.617,0.32,0.2,0.27,0.21,0,0,0,6.8,0.15,0.73,0.27,38.4,0.12706766917293216,0.09470720720720724,-0.2750716332378223,-0.27810810810810815
1987,366,888.9,192.8,30.63,101.2,779.5,223.4,2471,24.7,3.95,17.2,0.229,0.0505,0.443,0,0,0,0,0,0,0.564,0.35,0.068,0.26,0.32,0,0,0,7.5,0.16,0.7,0.3,36,0.5419753086419756,0.001013513513513488,-0.2922636103151862,-0.29774774774774776
1988,365,902.8,192.8,28.7,103.1,1334,208.1,3835,42.1,5.07,20,0.208,0.0553,0.44,0,0,0,0,0,0,0.573,0.41,0.099,0.26,0.23,0,0,0,22.1,0.12,0.48,0.52,21.4,0.4030303030303038,0.016666666666666614,0.20630372492836685,0.2018018018018018
1989,365,813,172.8,31.21,92.81,545.3,211.9,1026,17.2,2.9,14.3,0.211,0.0912,0.369,0,0,0,0,0,0,0.516,0.25,0.16,0.23,0.36,0,0,0,2.9,0.17,0.83,0.17,47.3,0.8693370165745856,-0.08445945945945946,-0.5071633237822349,-0.5087387387387388
1990,365,842.6,192.8,27.16,96.19,775,201.4,2321,24.4,3.33,16.5,0.21,0.0651,0.397,0,0,0,0,0,0,0.534,0.31,0.1,0.25,0.34,0,0,0,7.9,0.14,0.68,0.32,34.5,0.7757575757575758,-0.051126126126126104,-0.3008595988538682,-0.30180180180180183
1991,366,741.6,159,25.7,84.43,492.9,172.6,919.2,15.6,2.71,12.9,0.211,0.0929,0.341,0,0,0,0,0,0,0.47,0.079,0.31,0.25,0.36,0,0,0,2.7,0.17,0.83,0.17,47.5,0.9532425742574258,-0.16486486486486485,-0.5530085959885386,-0.5559459459459459
1992,365,821,192.8,27.31,93.72,878.9,163.3,3612,27.7,3.59,16.6,0.197,0.0495,0.386,0,0,0,0,0,0,0.521,0.35,0.058,0.25,0.34,0,0,0,11.1,0.13,0.6,0.4,29.6,0.8469135802469135,-0.07545045045045046,-0.20630372492836674,-0.2081981981981982
1993,365,747.6,192.8,21.89,85.34,578.6,156.8,1812,18.2,2.93,13.9,0.225,0.0741,0.378,0,0,0,0,0,0,0.474,0.22,0.12,0.19,0.47,0,0,0,4.3,0.16,0.76,0.24,41.1,0.9517574257425743,-0.15810810810810808,-0.4785100286532951,-0.47873873873873873
1994,365,605.5,192.8,17.33,69.12,416.8,134.4,1250,13.1,2.37,10.7,0.239,0.0816,0.446,0,0,0,0,0,0,0.384,0.14,0.088,0.23,0.55,0,0,0,2.4,0.18,0.82,0.18,46.2,0.9869306930693069,-0.31813063063063063,-0.6246418338108882,-0.6245045045045046
1995,366,552.7,144.6,17.33,62.92,370.6,127.7,851.4,11.7,2.36,9.36,0.244,0.12,0.425,0,0,0,0,0,0,0.35,0,0.21,0.25,0.55,0,0,0,2.34,0.2,0.8,0.2,47.2,1,-0.37759009009009004,-0.664756446991404,-0.6661261261261261
1996,365,793.7,192.8,19.22,90.61,556.8,127.7,1388,17.6,2.69,14.6,0.203,0.0902,0.374,0,0,0,0,0,0,0.503,0.24,0.14,0.19,0.43,0,0,0,3,0.15,0.83,0.17,45.1,0.908686440677966,-0.10619369369369364,-0.495702005730659,-0.4983783783783784
1997,365,838.1,192.8,24.15,95.68,1098,155.5,3553,34.6,4.38,17.9,0.206,0.0471,0.478,0,0,0,0,0,0,0.532,0.36,0.1,0.2,0.34,0,0,0,16.7,0.13,0.52,0.48,24.2,0.7928030303030303,-0.05619369369369367,-0.008595988538681867,-0.010810810810810811
1998,365,856.4,192.8,25.3,97.76,1061,171.9,3389,33.5,4.18,18.1,0.205,0.0564,0.488,0,0,0,0,0,0,0.543,0.36,0.12,0.21,0.32,0,0,0,15.4,0.12,0.54,0.46,25.6,0.6994444444444443,-0.03558558558558561,-0.04011461318051572,-0.044144144144144144
1999,366,820.3,192.8,27.9,93.39,864.1,194.2,3367,27.3,3.6,16.4,0.2,0.0392,0.377,0,0,0,0,0,0,0.52,0.28,0.12,0.25,0.35,0,0,0,10.9,0.13,0.6,0.4,30,0.8490740740740742,-0.07623873873873879,-0.21776504297994265,-0.22153153153153152
2000,365,872.9,192.8,21.51,99.65,1224,138,3690,38.6,4.6,19.1,0.197,0.0549,0.415,0,0,0,0,0,0,0.554,0.39,0.12,0.21,0.28,0,0,0,19.5,0.12,0.49,0.51,22.6,0.5993288590604029,-0.01700450450450453,0.10601719197707744,0.10270270270270271
2001,365,914.5,192.8,0,104.4,799.5,198.1,2018,25.2,3.89,17.8,0.222,0.0645,0.458,0,3,0,0,0.0082,0,0.58,0.32,0.16,0.25,0.27,0,3,0.00821917808219178,7.4,0.15,0.71,0.29,36.3,0.3344696969696969,0.029842342342342343,-0.27793696275071633,-0.2797297297297297
2002,365,892.2,192.8,0,101.8,1081,197.5,3892,34.1,4.55,18.8,0.213,0.0544,0.445,0,6,0,0,0.016,0,0.566,0.38,0.12,0.19,0.3,0,6,0.01643835616438356,15.3,0.13,0.55,0.45,26.2,0.5216049382716049,0.004729729729729781,-0.022922636103151782,-0.026126126126126126
2003,366,865.9,192.8,0,98.58,1334,188.1,4431,42.2,4.88,19.3,0.208,0.0476,0.431,0,3,0,0,0.0082,0,0.549,0.4,0.11,0.21,0.28,0,3,0.00821917808219178,22.9,0.12,0.46,0.54,20.5,0.6459459459459459,-0.024887387387387414,0.20916905444126088,0.2018018018018018
2004,365,903.8,192.8,27.48,103.2,641.2,195.8,1320,20.2,3.15,16.8,0.209,0.083,0.393,0,0,0,0,0,0,0.573,0.31,0.13,0.23,0.33,0,0,0,3.4,0.16,0.83,0.17,44.7,0.3945945945945949,0.017792792792792743,-0.42120343839541546,-0.4223423423423423
2005,365,904.1,192.8,21.43,103.2,965.3,155.5,2684,30.4,4.29,18.5,0.214,0.0688,0.466,0,0,0,0,0,0,0.573,0.39,0.1,0.19,0.32,0,0,0,11.9,0.14,0.61,0.39,29.7,0.3925675675675674,0.018130630630630657,-0.12893982808022922,-0.1303603603603604
2006,365,894.9,192.8,29.63,102.2,1472,209.5,4670,46.4,5.25,20.4,0.207,0.0362,0.431,0,0,0,0,0,0,0.568,0.43,0.1,0.24,0.23,0,0,0,26,0.11,0.44,0.56,19.3,0.5049382716049386,0.007770270270270245,0.32951289398280803,0.3261261261261261
2007,366,950.8,192.8,31.44,108.2,1305,236.7,3345,41.3,4.77,20.9,0.204,0.0412,0.415,0,0,0,0,0,0,0.603,0.47,0.074,0.2,0.26,0,0,0,20.4,0.12,0.51,0.49,23,0.20060606060606076,0.07072072072072066,0.18338108882521487,0.17567567567567569
2008,365,860.8,192.8,0,98.27,1521,179.5,5806,48,5.19,20.7,0.202,0.0363,0.417,0,0,21,0,0,0.058,0.546,0.45,0.12,0.17,0.27,0,21,0.057534246575342465,27.3,0.11,0.43,0.57,17.9,0.675,-0.030630630630630682,0.37535816618911183,0.37027027027027026
2009,365,923.1,192.8,29.63,105.4,1710,212.1,5180,53.9,5.51,21.8,0.189,0.0414,0.394,0,0,0,0,0,0,0.585,0.47,0.13,0.22,0.18,0,0,0,32.1,0.1,0.4,0.6,17.1,0.3018939393939394,0.039527027027027054,0.5444126074498568,0.5405405405405406
2010,365,931.6,192.8,30.2,106.3,1701,223.9,4449,53.6,5.48,22.1,0.188,0.0441,0.397,0,0,0,0,0,0,0.591,0.5,0.088,0.22,0.19,0,0,0,31.5,0.1,0.41,0.59,17.4,0.2633027522935779,0.049099099099099125,0.5358166189111749,0.5324324324324324
2011,366,972,192.8,33.96,110.7,1217,243.7,3585,38.5,4.81,20.7,0.2,0.055,0.397,0,0,0,0,0,0,0.616,0.43,0.12,0.23,0.22,0,0,0,17.8,0.12,0.54,0.46,25.2,0.1274436090225563,0.0945945945945946,0.10315186246418342,0.0963963963963964
