exceedance,flow,plantPower,energy,grossHead,canalFlow,netHead,totalEfficiency,totalHeadloss,eFlowProportion,generationProportion,bypassProportion,specificEnergy,shutoffProportion
0.24,1460,157,113000,25.5,1060,25.2,0.933,1.66,0.36,0.78,0.43,45.3,0
0.25,1410,155,112000,25.4,1040,25.1,0.932,1.61,0.36,0.77,0.43,45.1,0
0.26,1330,154,111000,25.4,1010,25.1,0.932,1.53,0.35,0.77,0.423,44.7,0
0.27,1280,152,110000,25.4,990,25.1,0.932,1.49,0.35,0.76,0.42,44.4,0
0.28,1240,151,109000,25.4,969,25,0.932,1.44,0.35,0.76,0.42,44,0
0.29,1200,149,108000,25.3,939,25,0.931,1.37,0.34,0.75,0.42,43.7,0
0.3,1150,148,106000,25.3,925,25,0.931,1.32,0.34,0.75,0.41,43.2,0
0.31,1110,146,105000,25.2,903,24.9,0.93,1.25,0.33,0.74,0.41,42.9,0
0.32,1060,145,104000,25.2,872,24.9,0.93,1.18,0.33,0.74,0.41,42.6,0
0.33,1020,142,102000,25.1,847,24.8,0.93,1.12,0.32,0.73,0.4,42.4,0
0.34,988,140,101000,25.1,816,24.7,0.929,1.06,0.32,0.73,0.4,42,0
0.35,965,138,99800,25,794,24.7,0.929,1.03,0.31,0.72,0.394,41.8,0
0.36,930,136,98300,25,774,24.7,0.929,0.993,0.31,0.714,0.39,41.7,0
0.37,902,134,96300,24.9,757,24.6,0.928,0.958,0.3,0.71,0.39,41.5,0
0.38,870,131,95100,24.9,734,24.5,0.928,0.922,0.3,0.7,0.38,41.3,0
0.39,856,128,93100,24.8,712,24.5,0.928,0.896,0.29,0.7,0.38,41.1,0
0.4,837,126,90700,24.8,688,24.4,0.927,0.859,0.28,0.7,0.38,41,0
0.41,815,123,89400,24.7,659,24.3,0.927,0.82,0.27,0.69,0.37,40.8,0
0.42,780,121,88200,24.7,637,24.3,0.926,0.775,0.26,0.69,0.37,40.6,0
0.43,758,119,86700,24.6,616,24.2,0.926,0.759,0.26,0.68,0.37,40.4,0
0.44,745,115,83600,24.5,605,24.1,0.925,0.736,0.25,0.68,0.36,40.3,0
0.45,735,111,81700,24.5,585,24,0.924,0.714,0.25,0.675,0.36,40.1,0
0.46,710,109,80500,24.4,563,23.9,0.924,0.67,0.24,0.67,0.36,40,0
0.47,683,107,78800,24.4,527,23.9,0.923,0.635,0.23,0.67,0.35,39.8,0
0.48,662,105,76700,24.3,512,23.8,0.923,0.616,0.22,0.66,0.35,39.5,0
0.49,644,101,75000,24.2,497,23.6,0.922,0.594,0.215,0.66,0.35,39.3,0
0.5,622,99.1,73100,24.1,479,23.5,0.922,0.576,0.21,0.66,0.34,39.2,0
0.51,610,96.2,71300,24,461,23.4,0.922,0.551,0.2,0.65,0.34,39,0
0.52,578,93,69000,24,451,23.3,0.921,0.537,0.2,0.65,0.34,38.9,0
0.53,565,91,67400,23.9,435,23.3,0.921,0.524,0.19,0.65,0.33,38.8,0
0.54,546,85.5,63600,23.8,423,23.1,0.92,0.5,0.19,0.64,0.33,38.6,0
0.55,536,82.4,60400,23.7,397,22.9,0.92,0.475,0.19,0.64,0.325,38.5,0
0.56,524,78.8,57900,23.6,378,22.9,0.92,0.457,0.19,0.64,0.32,38.3,0
0.57,507,75.8,56400,23.6,360,22.8,0.92,0.437,0.18,0.63,0.32,38.1,0
0.58,490,73.9,54500,23.5,347,22.7,0.919,0.419,0.18,0.63,0.31,38,0
0.59,482,71.8,53400,23.3,337,22.5,0.919,0.406,0.18,0.63,0.31,37.8,0
0.6,466,69.2,51500,23.3,329,22.4,0.919,0.396,0.17,0.62,0.3,37.4,0
0.61,459,67.6,50100,23.2,316,22.3,0.919,0.385,0.17,0.62,0.3,37.2,0
0.62,445,66.4,49100,23.1,306,22.2,0.918,0.373,0.17,0.62,0.3,37,0
0.63,435,64.7,47800,23,300,22.1,0.918,0.362,0.16,0.61,0.29,36.8,0
0.64,418,62.3,45800,22.9,291,21.9,0.918,0.349,0.16,0.61,0.286,36.7,0
0.65,413,60.4,44800,22.8,279,21.8,0.917,0.344,0.16,0.606,0.28,36.5,0
0.66,406,59,43500,22.7,272,21.6,0.917,0.34,0.15,0.6,0.27,36.3,0
0.67,398,57.6,42600,22.6,266,21.5,0.917,0.334,0.15,0.6,0.27,36,0
0.68,383,56.2,41500,22.5,260,21.3,0.916,0.329,0.15,0.59,0.26,35.8,0
0.69,376,54.2,40100,22.3,252,21,0.916,0.326,0.14,0.59,0.26,35.6,0
0.7,364,53,39100,22.2,242,20.8,0.916,0.323,0.14,0.59,0.25,35.4,0
0.71,355,51.9,38100,22,237,20.6,0.915,0.321,0.14,0.58,0.25,35.2,0
0.72,348,50.6,37200,21.9,232,20.4,0.915,0.317,0.14,0.58,0.24,34.9,0
0.73,342,48.9,36100,21.7,225,20.2,0.914,0.315,0.137,0.58,0.24,34.4,0
0.74,336,47.1,34300,21.6,217,20,0.914,0.314,0.13,0.577,0.23,34,0
0.75,330,45.2,33400,21.3,206,19.7,0.913,0.311,0.13,0.57,0.23,33.3,0
0.76,325,44.2,32400,21.1,200,19.4,0.913,0.31,0.13,0.57,0.22,32.2,0
0.77,315,43.4,31800,20.9,194,19.2,0.912,0.308,0.13,0.56,0.22,31.1,0
0.78,307,42.9,31100,20.6,191,18.9,0.912,0.304,0.12,0.56,0.21,30.5,0
0.79,300,41.9,30700,20.5,186,18.6,0.911,0.303,0.12,0.56,0.21,28.8,0
0.8,294,41.3,30100,20.2,183,18.4,0.91,0.3,0.12,0.55,0.2,27.2,0
0.81,289,40.4,29500,19.9,180,18.1,0.91,0.295,0.12,0.54,0.2,25.8,0
0.82,283,39.3,28900,19.6,174,17.7,0.909,0.292,0.11,0.54,0.19,24.3,0
0.83,279,38.6,28000,19.2,170,17.4,0.908,0.289,0.11,0.52,0.19,22.6,0
0.84,274,37.7,27600,18.9,167,17,0.908,0.286,0.1,0.49,0.19,20.9,0
0.85,268,37,26800,18.7,164,16.8,0.907,0.281,0.0989,0.48,0.18,20.2,0
0.86,264,35.5,26200,18.5,160,16.6,0.906,0.271,0.0929,0.46,0.18,19.3,0
0.87,258,34.4,25000,18.3,154,16.4,0.905,0.265,0.09,0.44,0.18,18,0
0.88,248,33.3,24100,18,149,16.1,0.903,0.253,0.088,0.42,0.17,17.1,0
0.89,242,32.9,23700,17.8,145,15.9,0.903,0.248,0.086,0.41,0.17,16.4,0
0.9,236,32,23200,17.5,143,15.6,0.901,0.244,0.084,0.39,0.16,15.4,0
0.91,231,31.7,22900,17.1,140,15.2,0.899,0.241,0.082,0.37,0.16,14.2,0
0.92,224,30.7,22500,16.9,138,15,0.898,0.236,0.079,0.36,0.16,13.6,0
0.93,220,29.7,21800,16.6,135,14.7,0.896,0.231,0.076,0.35,0.15,12.7,0
0.94,214,29,21200,16.3,131,14.4,0.894,0.223,0.074,0.33,0.15,11.8,0
0.95,211,27.8,20400,15.9,128,14.1,0.892,0.217,0.071,0.31,0.15,10.9,0
0.96,204,26.6,19400,15.1,123,13.3,0.886,0.209,0.069,0.28,0.14,9.25,0
0.97,198,24.8,18100,14.6,118,12.7,0.85,0.198,0.067,0.26,0.14,8.05,0
0.98,187,22.4,16600,13.8,114,12,0.724,0.193,0.062,0.24,0.13,6.85,0
0.99,168,19,14100,12.7,108,10.8,0.583,0.179,0.056,0.21,0.12,5.11,0
1,135,0,0,9.63,79.8,7.87,0,0.131,0.023,0.13,0.11,0,0
