waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1979,366,1069,192.8,40.21,121.7,1317,313.5,3065,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.678,0.47,0.15,0.29,0.099,0,0,0,19.3,0.14,0.54,0.46,25.7,0.207909604519774,0.19197707736389694,0.1864864864864865
1980,365,983.3,192.8,34.45,112.3,1159,283.2,3456,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.624,0.4,0.14,0.32,0.15,0,0,0,16.6,0.16,0.55,0.45,26.9,0.11107344632768357,0.04871060171919779,0.044144144144144144
1981,365,832.2,192.8,28.15,94.99,599,242.4,1435,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.528,0.21,0.19,0.28,0.32,0,0,0,4.2,0.21,0.78,0.22,44,-0.05966101694915249,-0.4584527220630373,-0.4603603603603604
1982,365,887.4,192.8,23.01,101.3,616.1,220.7,1140,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.563,0.24,0.22,0.23,0.3,0,0,0,3.9,0.2,0.8,0.2,45.7,0.002711864406779635,-0.44412607449856734,-0.44495495495495496
1983,366,841.8,192.8,26,95.84,658.1,211.9,1780,20.8,3.75,15.4,0.255,0.0727,0.458,0,0,0,0,0,0,0.534,0.26,0.14,0.24,0.36,0,0,0,5.4,0.18,0.74,0.26,40.5,-0.04881355932203395,-0.40401146131805155,-0.4071171171171171
1984,365,889.4,192.8,24.2,101.5,733.1,201.4,1930,23.1,4.31,16.6,0.265,0.0784,0.534,0,0,0,0,0,0,0.564,0.29,0.16,0.21,0.35,0,0,0,6.5,0.19,0.72,0.28,38.5,0.004971751412429353,-0.3381088825214899,-0.3395495495495495
1985,365,811,192.8,24.08,92.58,756.4,203.8,3038,23.9,4.36,15.3,0.273,0.0511,0.526,0,0,0,0,0,0,0.514,0.27,0.12,0.22,0.39,0,0,0,8.6,0.18,0.64,0.36,33.9,-0.08361581920903954,-0.31518624641833815,-0.3185585585585586
1986,365,961.8,192.8,27.46,109.8,801.3,239.5,2073,25.3,4.53,18,0.246,0.0737,0.512,0,0,0,0,0,0,0.61,0.32,0.19,0.27,0.22,0,0,0,7.3,0.18,0.71,0.29,38,0.0867796610169491,-0.2750716332378223,-0.27810810810810815
1987,366,878.6,192.8,26.15,100,779.5,223.4,2471,24.7,4.59,16.7,0.27,0.0608,0.512,0,0,0,0,0,0,0.557,0.35,0.06,0.25,0.34,0,0,0,8,0.19,0.68,0.32,35.6,-0.00723163841807907,-0.2922636103151862,-0.29774774774774776
1988,365,901.8,192.8,25.09,102.9,1334,208.1,3835,42.1,5.85,19.5,0.246,0.0628,0.505,0,0,0,0,0,0,0.572,0.41,0.099,0.22,0.27,0,0,0,22.6,0.14,0.46,0.54,21.4,0.018983050847457574,0.20630372492836685,0.2018018018018018
