ModelName,YearType,EnergyAnnual_mean,EnergyAnnual_P50,P95Power,CapFactor_mean,LowFlowShutoffProportion_mean,HighHeadShutoffProportion_mean,LowHeadShutoffProportion_mean,ShutoffDaysProportion_mean,Skew,meanVar,P50Var
ssp5_2050_MPI-ESM1-2-HR,Calendar,670,725,0,0.425,0.0254,0.0371,0,0.0624,0.08208955223880597,-0.207,-0.167
ssp5_2050_CanESM5,Calendar,548,614,0,0.347,0.0716,0.0591,0,0.132,0.12043795620437957,-0.351,-0.294
ssp5_2050_ACCESS-ESM1-5,Calendar,718,776,14.2,0.455,0.0206,0.0274,0,0.0477,0.0807799442896936,-0.15,-0.108
ssp5_2050_MIROC6,Calendar,777,824,20.3,0.493,0.00887,0.0232,0,0.0318,0.06048906048906049,-0.0805,-0.0529
ssp5_2050_CNRM-CM6-1,Calendar,822,846,24.3,0.521,0.000367,0.0103,0.000533,0.0113,0.029197080291970802,-0.0272,-0.0276
ssp5_2050_NESM3,Calendar,808,842,23.8,0.513,0.00533,0.0114,0,0.0166,0.04207920792079208,-0.0438,-0.0322
ssp5_2050_MRI-ESM2-0,Calendar,653,713,0,0.414,0.0336,0.0389,0,0.0725,0.09188361408882083,-0.227,-0.18
ssp5_2050_FGOALS-g3,Calendar,694,753,0,0.44,0.0267,0.0314,0,0.058,0.08501440922190202,-0.179,-0.134
ssp5_2050_HadGEM3-GC31-LL,Calendar,590,650,0,0.374,0.0561,0.0545,0,0.11,0.1016949152542373,-0.302,-0.253
ssp5_2050_UKESM1-0-LL,Calendar,669,749,0,0.424,0.0404,0.0344,0,0.0745,0.11958146487294469,-0.208,-0.139
ssp5_2085_MPI-ESM1-2-HR,Calendar,700,763,0,0.444,0.0216,0.033,0,0.0542,0.09,-0.172,-0.123
ssp5_2085_CanESM5,Calendar,281,274,0,0.178,0.29,0.115,0,0.405,-0.02491103202846975,-0.667,-0.685
ssp5_2085_ACCESS-ESM1-5,Calendar,545,613,0,0.346,0.0852,0.0606,0,0.145,0.12477064220183487,-0.355,-0.295
ssp5_2085_MIROC6,Calendar,768,812,18.4,0.487,0.0118,0.0264,0,0.0383,0.057291666666666664,-0.0911,-0.0667
ssp5_2085_CNRM-CM6-1,Calendar,575,636,0,0.365,0.0588,0.046,0,0.105,0.10608695652173913,-0.32,-0.269
ssp5_2085_NESM3,Calendar,792,819,0,0.502,0,0.0042,0.0545,0.059,0.03409090909090909,-0.0627,-0.0586
ssp5_2085_MRI-ESM2-0,Calendar,728,778,17.3,0.462,0.0111,0.0245,0.0011,0.037,0.06868131868131869,-0.138,-0.106
ssp5_2085_FGOALS-g3,Calendar,691,748,0,0.438,0.0246,0.0315,0,0.0558,0.0824891461649783,-0.182,-0.14
ssp5_2085_HadGEM3-GC31-LL,Calendar,555,608,0,0.352,0.077,0.0638,0,0.14,0.09549549549549549,-0.343,-0.301
ssp5_2085_UKESM1-0-LL,Calendar,537,572,0,0.341,0.097,0.0735,0,0.171,0.06517690875232775,-0.364,-0.343
