Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.85,268,36,26200,18.2,164,16.3,0.906,0.281,0.0989,0.48,0.18,19.5,0
0.86,264,34.7,25200,18,160,16.1,0.905,0.275,0.0929,0.46,0.18,18.6,0
0.87,258,33.5,24400,17.8,154,15.9,0.904,0.265,0.09,0.44,0.18,17.4,0
0.88,248,32.6,23600,17.5,149,15.6,0.903,0.253,0.088,0.42,0.17,16.5,0
0.89,242,32.1,23200,17.3,145,15.4,0.902,0.248,0.086,0.41,0.17,15.9,0
0.9,236,31.3,22800,17,143,15.1,0.9,0.244,0.084,0.39,0.16,14.8,0
0.91,231,31.1,22400,16.6,140,14.7,0.897,0.241,0.082,0.37,0.16,13.7,0
0.92,224,30,22000,16.4,138,14.5,0.895,0.236,0.079,0.36,0.16,13.1,0
0.93,220,29.1,21200,16.1,135,14.2,0.893,0.231,0.076,0.35,0.15,12.2,0
0.94,214,28.2,20700,15.8,131,13.9,0.89,0.223,0.074,0.33,0.15,11.4,0
0.95,211,26.9,19700,15.4,128,13.6,0.882,0.217,0.071,0.31,0.15,10.4,0
0.96,204,25.6,18900,14.6,123,12.8,0.855,0.209,0.069,0.28,0.14,8.82,0
0.97,198,23.8,17600,14.1,118,12.2,0.754,0.198,0.067,0.26,0.14,7.64,0
0.98,187,21.1,15700,13.3,114,11.5,0.643,0.193,0.062,0.24,0.13,6.11,0
0.99,168,17.9,13200,12.2,108,10.3,0.433,0.179,0.056,0.21,0.12,2.55,0
1,135,0,0,9.13,79.8,7.37,0,0.131,0.023,0.13,0.11,0,0
