exceedance,vicFallsFull,sioma,vicFallsOverlap,vicFallsRatio,vicFallsRatioSmoothed,ngonyeScaled,conversionFactor
0.092,240.8345,234.0932272821124,244.603,0.9845934023703715,0.9798024377811865,229.36511475907906,0.9523764857571447
0.093,241.0452,234.9023595409041,246.0355,0.9797171546382534,0.9815995001475984,230.5800387088429,0.9565842369349935
0.094,244.1538,235.0772387568791,248.1944,0.9837200194686101,0.9836108358455881,231.2245193019267,0.9470445239923635
0.095,244.1538,235.0772387568791,248.1944,0.9837200194686101,0.9833634485378181,231.16636417671265,0.9468063334533915
0.096,244.1538,235.40435853944126,248.1944,0.9837200194686101,0.9831149041364251,231.42953337879945,0.9478842163374048
0.097,244.603,236.06288913036227,248.27248400000005,0.985219932789652,0.9835629665539063,232.182715526345,0.9492226813503718
0.098,247.5017,237.05017699367127,251.8195,0.9828535915606218,0.9834391911384793,233.12443432188942,0.9419104366632206
0.099,247.5017,237.05017699367127,251.8195,0.9828535915606218,0.9837083842694009,233.18824660121987,0.9421682622835312
0.1,247.5017,238.03910094266513,251.8195,0.9828535915606218,0.9855002099662219,234.58758395916718,0.9478221117639481
0.101,247.5017,238.03910094266513,251.8195,0.9828535915606218,0.9862576359346316,234.76788095571803,0.9485505794736684
0.102,248.1944,238.03910094266513,251.8195,0.9856043713850595,0.986134862790165,234.7386561467893,0.9457854655334258
0.103,250.8784,239.02965957792736,251.8195,0.9962627993463572,0.9860120896456984,235.6861341277321,0.939443707101656
0.104,250.8784,239.02965957792736,253.279,0.9905219145685193,0.9858893165012318,235.6567877048049,0.9393267324122161
0.105,250.8784,240.02185150473647,255.4785,0.9819941795493554,0.9862927827747313,236.73181984734987,0.9436118049515219
0.106,250.8784,240.02185150473647,255.4785,0.9819941795493554,0.9862133426066632,236.7127524711263,0.9435358024888802
0.107,250.8784,240.02185150473647,255.4785,0.9819941795493554,0.9840532583234908,236.19428504207298,0.9414691940082246
0.108,251.8195,241.0156753330388,255.4785,0.9856778554751183,0.9827133004371522,236.84930976361971,0.9405519023094705
0.109,253.57391539999983,241.0156753330388,257.4228268,0.9850482902085816,0.9825915904106944,236.8199757393982,0.9339287732566137
0.11,254.284,242.01112967742216,259.1714,0.9811422093641504,0.9831282973899048,237.9279898691715,0.9356781782147973
0.111,254.284,243.00821315708663,259.1714,0.9811422093641504,0.9848997085069947,239.33871830322025,0.9412260240645115
0.112,254.284,243.00821315708663,259.1714,0.9811422093641504,0.9861448802061183,239.64130525289806,0.9424159807651998
0.113,255.4785,243.0667954567626,259.1714,0.9857511284038285,0.9874799898004616,240.02359669847482,0.9395060511881619
0.114,257.7185,244.00692439582076,259.1714,0.9943940573689843,0.9901739598912973,241.60930256990625,0.9374930498582998
0.115,257.7185,244.00692439582076,259.1714,0.9943940573689843,0.9911874425242309,241.85659935009693,0.9384526114737473
0.116,257.7185,245.00726202197322,259.1714,0.9943940573689843,0.9929487336278068,243.27965055433455,0.9439743384907741
0.117,259.1714,245.00726202197322,259.1714,1,0.9940516077257145,243.54986271741788,0.9397250727411198
0.118,259.8060154,246.00922466842727,262.8986,0.9882365877946858,0.9939197776857428,244.51343389108519,0.9411384625357108
0.119,261.1822,246.00922466842727,262.8986,0.993471247089182,0.9947206266330308,244.71045011968403,0.9369338726746463
0.12,261.1822,247.01281097257282,262.8986,0.993471247089182,0.9957256825037704,245.9569997928399,0.9417065933009212
0.121,261.1822,247.01281097257282,262.8986,0.993471247089182,0.9966909650445349,246.1954369466169,0.9426195083226072
0.122,262.8986,247.01281097257282,262.8986,1,0.9993367350432015,246.84897603117443,0.9389512763901156
0.123,263.2744,248.0180195762836,262.8986,1.0014294484641608,1.0011896140128567,248.3130652878125,0.9431720869473541
0.124,264.675,248.0180195762836,262.8986,1.0067569777853516,1.0015576402717503,248.40434243169537,0.9385258994302271
0.125,264.675,248.0180195762836,262.8986,1.0067569777853516,1.00249031925901,248.63566362701593,0.939399881466009
0.126,264.675,249.02484912588918,262.98103399999997,1.0064413998767685,1.00249031925901,249.64500050363944,0.9432133767965974
0.127,264.675,249.02484912588918,265.72529760000003,0.9960474309014378,1.0031096329235731,249.79922499551887,0.9437960706357565
0.128,266.66,250.39413985298526,266.66,1,1.0029678709708232,251.13727735191918,0.9417883347780663
0.129,266.66,251.04336567023384,266.66,1,1.0028261090180735,251.752841589882,0.9440967583810169
0.13,268.1972,251.04336567023384,266.66,1.0057646441161028,1.0027294296236926,251.72857086932567,0.9385950743308493
0.131,268.1972,252.05504997968634,266.66,1.0057646441161028,1.0041176029400734,253.09291259454304,0.9436821584809351
0.132,268.1972,252.48468913080976,266.66,1.0057646441161028,1.0061511180636658,254.03775226292132,0.9472050873868978
0.133,268.1972,253.0683498644114,266.66,1.0057646441161028,1.008877275503316,255.31490732732735,0.9519670873794631
0.134,268.1972,254.08326399264385,266.66,1.0057646441161028,1.0102308686585888,256.6827564948981,0.9570672493780625
0.135,270.4558,254.08326399264385,266.66,1.0142346058651466,1.0100902692724858,256.6470325439617,0.9489426092690993
0.136,271.7487,255.0997910369241,266.66,1.0190831020775517,1.0099496698863828,257.63794974582675,0.9480742676812318
0.137,271.7487,255.439849341733,267.66947180000005,1.0152397962030122,1.0098090705002798,257.9454768325069,0.9492059275076824
0.138,271.7487,256.1179296740763,270.4558,1.004780448413382,1.0106716510370013,258.8511308438773,0.9525386169055355
0.139,271.7487,257.1376785851828,270.4558,1.004780448413382,1.0086381359134091,259.35886880126014,0.9544070267907819
