waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1953,365,933.9,197.8,26.22,106.6,1111,256.9,3835,14.7,25.3,12.8,25.1,1.87,0.207,35,5.45,19.3,0.25,0.0577,0.537,0,0,0,0,0,0,0.592,0.39,0.14,0.2,0.27,0,0,0,15.7,0.16,0.55,0.45,26.7,0.17843137254901964,0.07716262975778544,0.0028653295128940235,0.0009009009009009009
1954,365,950.1,195.5,25.51,108.5,1293,211.9,3818,14.7,25.5,12.8,25.3,1.87,0.195,40.8,5.83,20.7,0.24,0.0609,0.476,0,0,0,0,0,0,0.603,0.47,0.088,0.19,0.26,0,0,0,20.1,0.14,0.51,0.49,23.3,0.13036649214659687,0.09584775086505193,0.16905444126074495,0.16486486486486487
1955,366,907.4,197.7,31.27,103.3,1785,250.3,5744,11.4,25.3,9.56,25.1,1.87,0.243,56.5,6.2,21.8,0.208,0.05,0.44,0,0,0,0,0,0,0.575,0.46,0.14,0.25,0.16,0,0,0,34.7,0.11,0.39,0.61,16.1,0.2983333333333334,0.04659746251441751,0.6189111747851004,0.6081081081081081
1956,365,831.3,195.1,0,94.89,1535,290,9124,8.65,25.1,6.91,24.9,1.87,0.253,48.4,5.83,19.1,0.238,0.0262,0.5,0,0,16,0,0,0.044,0.527,0.33,0.18,0.28,0.21,0,16,0.043835616438356165,29.3,0.12,0.39,0.61,17.2,0.7379310344827589,-0.04117647058823535,0.3868194842406877,0.38288288288288286
1957,365,788.8,195.6,0,90.04,2342,283.2,9912,8.34,25.2,6.59,24.9,1.87,0.249,73.9,6.22,21.7,0.211,0.0199,0.426,0,0,43,0,0,0.12,0.5,0.46,0.1,0.3,0.13,0,43,0.1178082191780822,52.2,0.084,0.29,0.71,10.7,0.8695945945945948,-0.0901960784313726,1.1174785100286535,1.10990990990991
1958,365,971.9,195.5,27.61,111,1117,242.4,4514,13.4,25.3,11.5,25.1,1.87,0.214,35.2,5.44,19.9,0.236,0.0526,0.487,0,0,0,0,0,0,0.616,0.38,0.18,0.29,0.16,0,0,0,15.3,0.15,0.57,0.43,27.6,0.08559322033898314,0.12099192618223757,0.008595988538682072,0.006306306306306306
1959,366,847.8,197.6,0,96.51,1150,197.9,4776,12.9,25.6,11,25.4,1.87,0.17,36.4,5.46,18.1,0.264,0.0571,0.53,0,8,0,0,0.022,0,0.538,0.34,0.15,0.22,0.3,0,8,0.021917808219178082,18.3,0.15,0.5,0.5,23.3,0.664351851851852,-0.022145328719723235,0.042979942693409746,0.036036036036036036
1960,365,869.4,195.5,23.62,99.25,1488,203.8,6098,10.9,25.6,9.09,25.4,1.87,0.181,46.9,5.96,19.8,0.235,0.0344,0.476,0,0,0,0,0,0,0.551,0.38,0.15,0.28,0.19,0,0,0,27.1,0.13,0.42,0.58,18.5,0.5406976744186052,0.002768166089965372,0.34383954154727797,0.34054054054054056
1961,365,927.9,197.6,34.21,105.9,1752,263.1,5641,11.6,25.2,9.71,25,1.87,0.254,55.2,6.51,22,0.215,0.0457,0.418,0,0,0,0,0,0,0.588,0.47,0.11,0.28,0.14,0,0,0,33.2,0.12,0.4,0.6,16.8,0.19803921568627444,0.07024221453287195,0.5816618911174787,0.5783783783783784
1962,365,914.9,196.9,36.48,104.4,2119,283.2,7037,9.85,25.2,8.04,24.9,1.87,0.254,66.8,6.65,23.3,0.2,0.0382,0.424,0,0,0,0,0,0,0.58,0.53,0.085,0.26,0.12,0,0,0,43.5,0.1,0.35,0.65,13.7,0.26708333333333345,0.05524798154555938,0.9140401146131805,0.909009009009009
