waterYear,flowMean,flowMin,flowMax,flowMedian,volume,peakWeek,peaks,peakWeeks,flowMeanVariance,flowMinVariance,flowMeanExceedance,flowMaxExceedance,flowMinExceedance
1962,2119,283,7037,1106,24388007,24,1,24,0.9159132007233273,NaN,0.020038278405377634,0.030640124573881593,0.08
1963,1030,290,2464,846,11887133,25,2,"25,29",-0.06871609403254973,NaN,0.5478813559322034,0.7211546391752577,0.06
1964,976,262,2747,607,11234464,27,1,27,-0.11754068716094032,NaN,0.6049469964664311,0.6741104294478527,0.16087912087912073
1965,1224,247,5489,630,14083432,27,1,27,0.10669077757685352,NaN,0.36,0.16057283950617288,0.2323232323232323
1966,983,263,3456,630,11313459,30,1,30,-0.1112115732368897,NaN,0.5975965665236052,0.48,0.15
1967,1872,255,5594,879,21602191,27,2,"20,27",0.6925858951175407,NaN,0.04012898602651376,0.1311082894975512,0.21
1968,2160,281,8558,893,24863059,27,1,27,0.9529837251356239,NaN,0.010433333333333576,0.020076142302699274,0.10043010752688182
1969,1563,337,4991,872,17985642,24,1,24,0.4132007233273056,NaN,0.14105263157894735,0.21239024390243907,0.02
1970,1086,321,3153,745,12499227,26,1,26,-0.018083182640144666,NaN,0.5016949152542373,0.5869969840585955,0.030666666666666686
1971,788,276,1856,679,9092688,31,2,"19,31",-0.2875226039783002,NaN,0.7480276134122288,0.8087625814091178,0.11172413793103451
1972,593,229,1241,461,6821462,31,1,31,-0.4638336347197107,NaN,0.8896,0.9253941368078175,0.32
1973,1126,208,2854,851,12960234,23,2,"23,31",0.018083182640144666,NaN,0.4392884371029226,0.648025078369906,0.5
1974,1612,217,5518,798,18559709,27,2,"22,27",0.45750452079566006,NaN,0.11040000000000005,0.15104740904079367,0.41
1975,1583,240,5537,764,18276305,27,2,"27,31",0.43128390596745025,NaN,0.13148093115403656,0.1433070866141733,0.28
1976,1143,337,2845,741,13154121,32,2,"28,32",0.03345388788426763,NaN,0.4223277909738718,0.6518264127380581,0.02
1977,1899,273,6342,1044,21856588,29,1,29,0.716998191681736,NaN,0.03202952029520302,0.041365757799066344,0.12043956043956044
1978,1498,342,5397,879,17247489,29,1,29,0.35443037974683544,NaN,0.18117647058823522,0.1717486583184258,0
1979,1317,314,3065,868,15199888,28,3,"19,21,28",0.19077757685352623,NaN,0.2936984246061514,0.6067827681026581,0.04012131715771229
1980,1159,283,3456,705,13345105,31,2,"27,31",0.04792043399638336,NaN,0.3981029810298103,0.48,0.08
1981,599,242,1435,469,6894493,29,1,29,-0.45840867992766726,NaN,0.8795357833655706,0.8884067796610169,0.26
1982,616,221,1140,537,7091226,26,2,"26,30",-0.4430379746835443,NaN,0.869067903838043,0.9397025100712736,0.38
1983,658,212,1780,459,7596345,27,1,27,-0.4050632911392405,NaN,0.8397494126859828,0.825816892041676,0.45
1984,733,201,1930,503,8438144,31,2,"19,31",-0.337251356238698,NaN,0.7896607431340873,0.7982447817836812,0.57
1985,756,204,3038,447,8707073,30,1,30,-0.31645569620253167,NaN,0.7774301675977654,0.6149623380536305,0.53
1986,801,240,2073,637,9223456,27,1,27,-0.2757685352622061,NaN,0.7295774647887324,0.7790342405618964,0.28
1987,780,223,2471,472,8997349,30,2,"22,30",-0.29475587703435807,NaN,0.7583333333333333,0.7190055809233891,0.35
1988,1334,208,3835,674,15358017,31,2,"25,31",0.20614828209764918,NaN,0.28,0.36,0.5
1989,545,212,1026,447,6276449,34,3,"20,26,34",-0.5072332730560579,NaN,0.9386915887850468,0.9593610032845625,0.45
1990,775,201,2321,430,8921083,25,1,25,-0.29927667269439423,NaN,0.7646511627906977,0.7393047508690614,0.57
1991,493,173,919,463,5688686,25,2,"12,25",-0.554249547920434,NaN,0.9695049504950495,0.97,0.819
1992,879,163,3612,412,10116881,30,1,30,-0.20524412296564196,NaN,0.6749420442571127,0.44055944055944063,0.8690254872563719
1993,579,157,1812,326,6660438,26,1,26,-0.47649186256781195,NaN,0.9094488188976378,0.8186086956521739,0.9
1994,417,134,1250,266,4797560,28,1,28,-0.6229656419529838,NaN,0.9899088025376686,0.9198882334678672,0.9594059405940594
1995,371,128,851,274,4277814,31,2,"16,31",-0.6645569620253164,NaN,1,1,0.97
1996,557,128,1388,368,6409168,32,2,"20,32",-0.49638336347197104,NaN,0.9294262295081968,0.8986016862019329,0.97
1997,1098,156,3553,528,12638984,27,1,27,-0.007233273056057866,NaN,0.4751648351648352,0.46222591864509305,0.92
1998,1061,172,3389,530,12218062,30,1,30,-0.0406871609403255,NaN,0.53325768321513,0.5075654923215899,0.83
1999,864,194,3367,450,9974087,28,1,28,-0.21880650994575046,NaN,0.6886808510638298,0.5151515151515151,0.7032558139534884
2000,1224,138,3690,631,14087445,31,2,"25,31",0.10669077757685352,NaN,0.36,0.4040985606245426,0.9498831775700934
2001,799,198,2018,556,9202751,32,1,32,-0.27757685352622063,NaN,0.7333796296296297,0.786989247311828,0.6
2002,1081,197,3892,631,12444956,30,1,30,-0.022603978300180832,NaN,0.5143147208121827,0.3413495213635302,0.64
2003,1334,188,4431,656,15396138,26,2,"26,30",0.20614828209764918,NaN,0.28,0.3101559443295512,0.74
2004,641,196,1320,470,7380679,32,2,"26,32",-0.4204339963833635,NaN,0.8578461538461538,0.9090666666666667,0.6767676767676768
2005,965,156,2684,596,11110900,29,1,29,-0.1274864376130199,NaN,0.6185477707006369,0.6847133898118605,0.92
2006,1472,210,4670,733,16945814,22,1,22,0.3309222423146474,NaN,0.2004600345025877,0.26,0.4848484848484849
2007,1305,237,3345,839,15064208,22,2,"22,29",0.17992766726943943,NaN,0.3030303030303029,0.526887417218543,0.2955414012738853
2008,1521,179,5806,772,17507244,25,1,25,0.3752260397830018,NaN,0.16137003058103977,0.09098837209302325,0.7696746817538898
2009,1710,212,5180,875,19680355,30,2,"25,30",0.546112115732369,NaN,0.08104918032786888,0.2006745362563238,0.45
2010,1701,224,4449,947,19576575,29,1,29,0.5379746835443038,NaN,0.09010238907849828,0.3043596730245232,0.3371428571428571
2011,1217,244,3585,730,14046747,30,1,30,0.1003616636528029,NaN,0.3725822532402791,0.45412844036697253,0.24324324324324315
2012,1344,221,3649,733,15472378,23,2,"23,29",0.21518987341772153,NaN,0.2609653465346535,0.41674288006417975,0.38
2013,1347,198,3614,839,15508335,28,2,"28,32",0.2179023508137432,NaN,0.25503355704697983,0.43889655172413805,0.6
2014,704,207,1466,556,8104498,33,2,"29,33",-0.36347197106690776,NaN,0.808655846858094,0.8796087093720416,0.5126153846153846
2015,1020,175,2994,498,11770613,30,1,30,-0.07775768535262206,NaN,0.5545454545454546,0.6238058035714286,0.8067796610169493
2016,1087,156,3913,596,12509585,27,1,27,-0.017179023508137433,NaN,0.49,0.3298408928995488,0.92
2017,1614,172,4829,828,18576753,31,1,31,0.4593128390596745,NaN,0.1083015267175574,0.22466187050359712,0.83
2018,517,157,1092,470,5947568,30,3,"22,30,33",-0.5325497287522604,NaN,0.9498319013821441,0.9493184634448575,0.9
2019,1381,128,4670,631,15944567,30,2,"25,30",0.24864376130198915,NaN,0.22076923076923075,0.26,0.97
2020,1356,260,3732,798,15610351,22,2,"22,31",0.22603978300180833,NaN,0.24034334763948498,0.3957099080694586,0.17293103448275884
2021,1087,264,3102,728,12512402,31,1,31,-0.017179023508137433,NaN,0.49,0.5967030519046559,0.13576354679802943
2022,1152,229,2768,726,13256616,33,2,"22,33",0.04159132007233273,NaN,0.4070351758793968,0.6688,0.32
2023,508,218,875,488,5858613,35,3,"21,27,35",-0.5406871609403255,NaN,0.959344262295082,0.9899446494464944,0.3966101694915255
