waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
1944,365,806.2,192.6,24.42,92.03,1005,195.3,3909,31.7,4.82,17.1,0.253,0.0597,0.547,0,0,0,0,0,0,0.511,0.34,0.12,0.21,0.34,0,0,0,14.6,0.15,0.54,0.46,25.4
1945,365,882.4,193.7,22.46,100.7,687.4,197.9,1571,21.7,4.04,16.9,0.262,0.0957,0.482,0,0,0,0,0,0,0.56,0.39,0.077,0.18,0.36,0,0,0,4.8,0.19,0.78,0.22,40.7
1946,365,841,191.1,27.03,96.01,1252,196.6,4776,39.5,5.45,18.8,0.236,0.0463,0.478,0,0,0,0,0,0,0.533,0.38,0.13,0.24,0.25,0,0,0,20.7,0.14,0.48,0.52,21.3
1947,366,746.3,193,0,84.96,1722,259.4,6157,54.5,6.27,20.3,0.232,0.0388,0.487,0,0,42,0,0,0.12,0.473,0.44,0.12,0.22,0.23,0,42,0.11506849315068493,34.2,0.12,0.37,0.63,13.7
1948,365,651.7,152,22.74,74.39,468.3,196.6,919.2,14.8,3.37,11.4,0.264,0.131,0.463,0,0,0,0,0,0,0.413,0.079,0.19,0.42,0.32,0,0,0,3.4,0.23,0.77,0.23,44
1949,365,759.6,191.3,20.59,86.72,1388,170.2,5234,43.8,5.33,18.1,0.24,0.031,0.544,0,0,0,0,0,0,0.482,0.38,0.11,0.18,0.34,0,0,0,25.7,0.12,0.41,0.59,17.3
1950,365,852,193.3,21.25,97.26,1237,196.6,4481,39,5.5,19,0.245,0.0529,0.505,0,0,0,0,0,0,0.54,0.39,0.14,0.22,0.25,0,0,0,20,0.14,0.49,0.51,21.8
1951,366,806.3,192,0,91.79,1606,254.6,6157,50.8,5.65,20.5,0.229,0.0392,0.478,0,0,22,0,0,0.06,0.511,0.47,0.052,0.25,0.24,0,22,0.06027397260273973,30.3,0.11,0.4,0.6,15.9
1952,365,816.5,193.9,0,93.2,1504,216.8,5874,47.4,5.96,19.7,0.235,0.0444,0.481,0,0,13,0,0,0.036,0.518,0.41,0.13,0.27,0.2,0,13,0.03561643835616438,27.7,0.13,0.42,0.58,17.2
1953,365,909.5,194,25.55,103.8,1111,256.9,3835,35,5.45,19.3,0.25,0.0577,0.537,0,0,0,0,0,0,0.577,0.41,0.14,0.19,0.27,0,0,0,15.7,0.16,0.55,0.45,26
1954,365,923.2,191.7,24.87,105.4,1293,211.9,3818,40.8,5.83,20.7,0.24,0.0609,0.476,0,0,0,0,0,0,0.586,0.48,0.093,0.19,0.24,0,0,0,20.1,0.14,0.51,0.49,22.6
1955,366,850.1,193.8,0,96.78,1785,250.3,5744,56.5,6.2,21.8,0.208,0.05,0.44,0,0,17,0,0,0.047,0.539,0.48,0.13,0.26,0.13,0,17,0.04657534246575343,34.7,0.11,0.39,0.61,15
1956,365,793.1,191.3,0,90.54,1535,290,9124,48.4,5.83,19.1,0.238,0.0262,0.5,0,0,27,0,0,0.074,0.503,0.35,0.18,0.29,0.18,0,27,0.07397260273972603,29.3,0.12,0.39,0.61,16.4
1957,365,742,191.8,0,84.7,2342,283.2,9912,73.9,6.22,21.7,0.211,0.0199,0.426,0,0,61,0,0,0.17,0.471,0.48,0.1,0.32,0.11,0,61,0.16712328767123288,52.2,0.084,0.29,0.71,10
1958,365,946.4,191.7,26.94,108,1117,242.4,4514,35.2,5.44,19.9,0.236,0.0526,0.487,0,0,0,0,0,0,0.6,0.42,0.15,0.3,0.13,0,0,0,15.3,0.15,0.57,0.43,26.9
1959,366,828.4,193.8,21.56,94.31,1150,197.9,4776,36.4,5.46,18.1,0.264,0.0571,0.53,0,0,0,0,0,0,0.525,0.35,0.15,0.2,0.3,0,0,0,18.3,0.15,0.5,0.5,22.8
1960,365,807.9,191.7,0,92.23,1488,203.8,6098,46.9,5.96,19.8,0.235,0.0344,0.476,0,0,24,0,0,0.066,0.512,0.41,0.14,0.28,0.17,0,24,0.06575342465753424,27.1,0.13,0.42,0.58,17.2
1961,365,870,193.8,0,99.31,1752,263.1,5641,55.2,6.51,22,0.215,0.0457,0.418,0,0,17,0,0,0.047,0.552,0.49,0.12,0.27,0.13,0,17,0.04657534246575343,33.2,0.12,0.4,0.6,15.8
1962,365,820.3,193.1,0,93.64,2119,283.2,7037,66.8,6.65,23.3,0.2,0.0382,0.424,0,0,47,0,0,0.13,0.52,0.54,0.093,0.29,0.077,0,47,0.12876712328767123,43.5,0.1,0.35,0.65,12.3
1963,366,1031,192.9,33,117.3,1030,290,2464,32.6,5.19,21.1,0.224,0.0743,0.513,0,0,0,0,0,0,0.654,0.47,0.14,0.3,0.1,0,0,0,11.5,0.16,0.65,0.35,31.6
1964,365,901.2,193.8,32.36,102.9,976,261.9,2747,30.8,5.07,18.6,0.25,0.0688,0.481,0,0,0,0,0,0,0.572,0.37,0.12,0.28,0.23,0,0,0,12.2,0.16,0.6,0.4,29.3
1965,365,854.2,192.6,0,97.51,1224,246.5,5489,38.6,5.55,19,0.248,0.0338,0.467,0,0,6,0,0,0.016,0.542,0.39,0.12,0.29,0.2,0,6,0.01643835616438356,19.6,0.14,0.49,0.51,22.1
1966,365,899.6,193.8,31.1,102.7,982.9,263.1,3456,31,5.12,18.6,0.245,0.0628,0.49,0,0,0,0,0,0,0.571,0.38,0.13,0.25,0.24,0,0,0,12.4,0.17,0.6,0.4,29
1967,366,863.7,191,0,98.33,1872,254.6,5594,59.2,6.41,22.1,0.211,0.037,0.443,0,0,10,0,0,0.027,0.548,0.48,0.13,0.28,0.11,0,10,0.0273972602739726,37.1,0.11,0.37,0.63,14.6
1968,365,795.2,192.7,0,90.77,2160,281.5,8558,68.1,6.7,22.5,0.199,0.0352,0.391,0,0,61,0,0,0.17,0.504,0.47,0.19,0.23,0.11,0,61,0.16712328767123288,45.6,0.098,0.33,0.67,11.7
