waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1934,365,872.3,191.7,17.82,99.57,958.2,176.4,3258,15.9,25.6,14,25.4,1.94,0.134,30.2,4.82,18.1,0.256,0.0721,0.531,0,0,0,0,0,0,0.553,0.37,0.11,0.22,0.3,0,0,0,12.1,0.16,0.6,0.4,28.9,0.30163043478260904,0.0384523809523809,-0.13467048710601717,-0.13675675675675672
1935,366,824.4,191.9,20.29,93.85,817.8,188.8,2496,17.7,25.6,15.8,25.4,1.94,0.15,25.9,4.25,16.6,0.248,0.0628,0.493,0,0,0,0,0,0,0.523,0.32,0.12,0.23,0.33,0,0,0,9.3,0.16,0.64,0.36,31.8,0.6105555555555554,-0.0185714285714286,-0.25787965616045844,-0.2632432432432433
1936,365,845.3,192.6,23.01,96.49,1205,203.8,3635,15.1,25.6,13.2,25.4,1.94,0.171,38,5.51,18.9,0.25,0.0501,0.539,0,0,0,0,0,0,0.536,0.4,0.099,0.21,0.29,0,0,0,19.1,0.14,0.5,0.5,22.2,0.4945454545454554,0.006309523809523755,0.08882521489971351,0.08558558558558559
1937,365,850.3,194,26.28,97.07,836.5,223.4,3237,15.9,25.5,14,25.2,1.94,0.203,26.4,4.41,17,0.26,0.0457,0.551,0,0,0,0,0,0,0.539,0.33,0.13,0.24,0.3,0,0,0,9.4,0.17,0.64,0.36,32.2,0.4488372093023266,0.012261904761904708,-0.24355300859598855,-0.2463963963963964
1938,365,832.8,192,25.5,95.07,886.2,216.8,2874,16.8,25.5,14.8,25.3,1.94,0.196,27.9,4.6,17,0.259,0.0697,0.5,0,0,0,0,0,0,0.528,0.33,0.12,0.24,0.3,0,0,0,10.9,0.16,0.61,0.39,29.8,0.5783333333333334,-0.008571428571428626,-0.2005730659025788,-0.2016216216216216
1939,366,900,192.3,25.01,102.5,1357,213,5307,12,25.5,10.1,25.3,1.94,0.189,42.9,5.92,20.2,0.247,0.0464,0.542,0,0,0,0,0,0,0.571,0.44,0.15,0.17,0.25,0,0,0,22.7,0.14,0.47,0.53,21,0.20075757575757594,0.07142857142857142,0.22922636103151864,0.22252252252252253
1940,365,876.3,192.3,22.56,100,961.7,223.4,3334,15.7,25.5,13.8,25.3,1.94,0.169,30.3,4.7,18.2,0.242,0.0549,0.528,0,0,0,0,0,0,0.556,0.39,0.074,0.3,0.24,0,0,0,12.1,0.16,0.6,0.4,28.9,0.287152777777778,0.04321428571428566,-0.13180515759312314,-0.13360360360360357
1941,365,766.1,193.2,20.78,87.46,656.2,188.8,2220,18.4,25.6,16.4,25.4,1.94,0.153,20.7,3.66,14.7,0.261,0.0667,0.482,0,0,0,0,0,0,0.486,0.26,0.13,0.23,0.38,0,0,0,6,0.18,0.71,0.29,37,0.8723039215686275,-0.08797619047619044,-0.4068767908309456,-0.40882882882882876
1942,365,821.1,194,24.92,93.74,673.5,170.2,1669,20,25.6,18,25.4,1.94,0.187,21.2,3.73,15.8,0.243,0.0887,0.459,0,0,0,0,0,0,0.521,0.28,0.15,0.24,0.33,0,0,0,5.4,0.18,0.75,0.25,38.7,0.6288888888888885,-0.02249999999999997,-0.39255014326647564,-0.3932432432432432
1943,366,856.8,192.7,22.16,97.54,934.2,176.4,2529,17.6,25.6,15.7,25.4,1.94,0.161,29.5,4.61,17.9,0.245,0.0799,0.452,0,0,0,0,0,0,0.543,0.38,0.1,0.18,0.34,0,0,0,11.6,0.16,0.61,0.39,29,0.3870786516853935,0.019999999999999945,-0.15472779369627504,-0.15837837837837834
1944,365,806.2,192.6,24.42,92.03,1005,195.3,3909,14.5,25.6,12.6,25.4,1.94,0.186,31.7,4.82,17.1,0.253,0.0597,0.547,0,0,0,0,0,0,0.511,0.34,0.12,0.21,0.34,0,0,0,14.6,0.15,0.54,0.46,25.4,0.7184523809523804,-0.040238095238095184,-0.09169054441260743,-0.0945945945945946
1945,365,882.4,193.7,22.46,100.7,687.4,197.9,1571,20.3,25.6,18.4,25.4,1.93,0.166,21.7,4.04,16.9,0.262,0.0957,0.482,0,0,0,0,0,0,0.56,0.39,0.077,0.18,0.36,0,0,0,4.8,0.19,0.78,0.22,40.7,0.26597222222222233,0.05047619047619045,-0.37822349570200575,-0.3807207207207207
1946,365,841,191.1,27.03,96.01,1252,196.6,4776,12.9,25.6,11,25.4,1.94,0.203,39.5,5.45,18.8,0.236,0.0463,0.478,0,0,0,0,0,0,0.533,0.38,0.13,0.24,0.25,0,0,0,20.7,0.14,0.48,0.52,21.3,0.5509999999999999,0.0011904761904761906,0.13180515759312325,0.12792792792792793
1947,366,746.3,193,0,84.96,1722,259.4,6157,10.9,25.3,8.95,25,1.94,0.228,54.5,6.27,20.3,0.232,0.0388,0.487,0,0,42,0,0,0.12,0.473,0.44,0.12,0.22,0.23,0,42,0.11506849315068493,34.2,0.12,0.37,0.63,13.7,0.90830078125,-0.1115476190476191,0.5616045845272207,0.5513513513513514
1948,365,651.7,152,22.74,74.39,468.3,196.6,919.2,22.4,25.6,21.5,25.4,0.958,0.168,14.8,3.37,11.4,0.264,0.131,0.463,0,0,0,0,0,0,0.413,0.079,0.19,0.42,0.32,0,0,0,3.4,0.23,0.77,0.23,44,0.9633693972179289,-0.22416666666666663,-0.5759312320916905,-0.5781081081081082
1949,365,759.6,191.3,20.59,86.72,1388,170.2,5234,12.2,25.6,10.2,25.4,1.94,0.15,43.8,5.33,18.1,0.24,0.031,0.544,0,0,0,0,0,0,0.482,0.38,0.11,0.18,0.34,0,0,0,25.7,0.12,0.41,0.59,17.3,0.888235294117647,-0.09571428571428568,0.25501432664756446,0.25045045045045045
1950,365,852,193.3,21.25,97.26,1237,196.6,4481,13.4,25.6,11.5,25.4,1.94,0.157,39,5.5,19,0.245,0.0529,0.505,0,0,0,0,0,0,0.54,0.39,0.14,0.22,0.25,0,0,0,20,0.14,0.49,0.51,21.8,0.42906976744186076,0.014285714285714285,0.11747851002865334,0.11441441441441441
1951,366,806.3,192,0,91.79,1606,254.6,6157,10.9,25.3,8.95,25,1.94,0.228,50.8,5.65,20.5,0.229,0.0392,0.478,0,0,22,0,0,0.06,0.511,0.47,0.052,0.25,0.24,0,22,0.06027397260273973,30.3,0.11,0.4,0.6,15.9,0.7178571428571429,-0.04011904761904767,0.45558739255014324,0.44684684684684683
1952,365,816.5,193.9,0,93.2,1504,216.8,5874,11.2,25.5,9.31,25.3,1.94,0.197,47.4,5.96,19.7,0.235,0.0444,0.481,0,0,13,0,0,0.036,0.518,0.41,0.13,0.27,0.2,0,13,0.03561643835616438,27.7,0.13,0.42,0.58,17.2,0.6549999999999997,-0.027976190476190477,0.35816618911174786,0.35495495495495494
1953,365,909.5,194,25.55,103.8,1111,256.9,3835,14.7,25.3,12.7,25.1,1.94,0.2,35,5.45,19.3,0.25,0.0577,0.537,0,0,0,0,0,0,0.577,0.41,0.14,0.19,0.27,0,0,0,15.7,0.16,0.55,0.45,26,0.17093750000000013,0.08273809523809524,0.0028653295128940235,0.0009009009009009009
1954,365,923.2,191.7,24.87,105.4,1293,211.9,3818,14.7,25.5,12.8,25.3,1.94,0.187,40.8,5.83,20.7,0.24,0.0609,0.476,0,0,0,0,0,0,0.586,0.48,0.093,0.19,0.24,0,0,0,20.1,0.14,0.51,0.49,22.6,0.12666666666666668,0.0990476190476191,0.16905444126074495,0.16486486486486487
1955,366,850.1,193.8,0,96.78,1785,250.3,5744,11.4,25.3,9.49,25.1,1.94,0.228,56.5,6.2,21.8,0.208,0.05,0.44,0,0,17,0,0,0.047,0.539,0.48,0.13,0.26,0.13,0,17,0.04657534246575343,34.7,0.11,0.39,0.61,15,0.45090909090909115,0.012023809523809551,0.6189111747851004,0.6081081081081081
1956,365,793.1,191.3,0,90.54,1535,290,9124,8.65,25.1,6.84,24.9,1.94,0.233,48.4,5.83,19.1,0.238,0.0262,0.5,0,0,27,0,0,0.074,0.503,0.35,0.18,0.29,0.18,0,27,0.07397260273972603,29.3,0.12,0.39,0.61,16.4,0.7910526315789471,-0.055833333333333304,0.3868194842406877,0.38288288288288286
1957,365,742,191.8,0,84.7,2342,283.2,9912,8.34,25.2,6.53,24.8,1.94,0.228,73.9,6.22,21.7,0.211,0.0199,0.426,0,0,61,0,0,0.17,0.471,0.48,0.1,0.32,0.11,0,61,0.16712328767123288,52.2,0.084,0.29,0.71,10,0.9125,-0.11666666666666667,1.1174785100286535,1.10990990990991
1958,365,946.4,191.7,26.94,108,1117,242.4,4514,13.4,25.3,11.4,25.1,1.94,0.209,35.2,5.44,19.9,0.236,0.0526,0.487,0,0,0,0,0,0,0.6,0.42,0.15,0.3,0.13,0,0,0,15.3,0.15,0.57,0.43,26.9,0.08118811881188126,0.12666666666666665,0.008595988538682072,0.006306306306306306
1959,366,828.4,193.8,21.56,94.31,1150,197.9,4776,12.9,25.6,11,25.4,1.94,0.159,36.4,5.46,18.1,0.264,0.0571,0.53,0,0,0,0,0,0,0.525,0.35,0.15,0.2,0.3,0,0,0,18.3,0.15,0.5,0.5,22.8,0.5929999999999999,-0.013809523809523836,0.042979942693409746,0.036036036036036036
1960,365,807.9,191.7,0,92.23,1488,203.8,6098,10.9,25.6,9.02,25.4,1.94,0.171,46.9,5.96,19.8,0.235,0.0344,0.476,0,0,24,0,0,0.066,0.512,0.41,0.14,0.28,0.17,0,24,0.06575342465753424,27.1,0.13,0.42,0.58,17.2,0.7083333333333331,-0.03821428571428574,0.34383954154727797,0.34054054054054056
1961,365,870,193.8,0,99.31,1752,263.1,5641,11.6,25.2,9.64,25,1.94,0.228,55.2,6.51,22,0.215,0.0457,0.418,0,0,17,0,0,0.047,0.552,0.49,0.12,0.27,0.13,0,17,0.04657534246575343,33.2,0.12,0.4,0.6,15.8,0.3141304347826087,0.03571428571428571,0.5816618911174787,0.5783783783783784
1962,365,820.3,193.1,0,93.64,2119,283.2,7037,9.85,25.2,7.97,24.9,1.94,0.228,66.8,6.65,23.3,0.2,0.0382,0.424,0,0,47,0,0,0.13,0.52,0.54,0.093,0.29,0.077,0,47,0.12876712328767123,43.5,0.1,0.35,0.65,12.3,0.6333333333333333,-0.023452380952381006,0.9140401146131805,0.909009009009009
1963,366,1031,192.9,33,117.3,1030,290,2464,17.8,25.1,15.8,24.9,1.94,0.235,32.6,5.19,21.1,0.224,0.0743,0.513,0,0,0,0,0,0,0.654,0.47,0.14,0.3,0.1,0,0,0,11.5,0.16,0.65,0.35,31.6,0,0.22738095238095238,-0.06590257879656153,-0.07207207207207207
1964,365,901.2,193.8,32.36,102.9,976,261.9,2747,17.1,25.3,15.2,25,1.94,0.228,30.8,5.07,18.6,0.25,0.0688,0.481,0,0,0,0,0,0,0.572,0.37,0.12,0.28,0.23,0,0,0,12.2,0.16,0.6,0.4,29.3,0.19687500000000002,0.07285714285714291,-0.11747851002865324,-0.12072072072072072
1965,365,854.2,192.6,0,97.51,1224,246.5,5489,11.8,25.3,9.86,25.1,1.94,0.229,38.6,5.55,19,0.248,0.0338,0.467,0,0,6,0,0,0.016,0.542,0.39,0.12,0.29,0.2,0,6,0.01643835616438356,19.6,0.14,0.49,0.51,22.1,0.4034883720930228,0.01690476190476196,0.10601719197707744,0.10270270270270271
1966,365,899.6,193.8,31.1,102.7,982.9,263.1,3456,15.5,25.2,13.5,25,1.94,0.235,31,5.12,18.6,0.245,0.0628,0.49,0,0,0,0,0,0,0.571,0.38,0.13,0.25,0.24,0,0,0,12.4,0.17,0.6,0.4,29,0.20227272727272735,0.07095238095238098,-0.11174785100286529,-0.11450450450450453
1967,366,863.7,191,0,98.33,1872,254.6,5594,11.6,25.3,9.71,25,1.94,0.237,59.2,6.41,22.1,0.211,0.037,0.443,0,0,10,0,0,0.027,0.548,0.48,0.13,0.28,0.11,0,10,0.0273972602739726,37.1,0.11,0.37,0.63,14.6,0.34836956521739093,0.028214285714285768,0.696275071633238,0.6864864864864865
1968,365,795.2,192.7,0,90.77,2160,281.5,8558,8.87,25.2,7.05,24.8,1.94,0.228,68.1,6.7,22.5,0.199,0.0352,0.391,0,0,61,0,0,0.17,0.504,0.47,0.19,0.23,0.11,0,61,0.16712328767123288,45.6,0.098,0.33,0.67,11.7,0.7799999999999997,-0.05333333333333328,0.9512893982808022,0.9459459459459459
1969,365,993,193.6,42,113.4,1563,337.2,4991,12.5,24.9,10.6,24.5,1.94,0.238,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.63,0.49,0.15,0.33,0.03,0,0,0,26.6,0.12,0.46,0.54,20.1,0.031986531986532,0.18214285714285713,0.4126074498567335,0.4081081081081081
1970,365,971.4,193,40.94,110.9,1086,321.2,3153,16.1,25,14.2,24.7,1.94,0.232,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.616,0.42,0.14,0.32,0.12,0,0,0,13.9,0.15,0.59,0.41,28.4,0.05024752475247531,0.1564285714285714,-0.02005730659025776,-0.021621621621621623
1971,366,949.8,193.4,34.97,108.1,787.8,276.2,1856,19.4,25.2,17.4,24.9,1.94,0.228,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.602,0.34,0.18,0.29,0.19,0,0,0,6.6,0.19,0.73,0.27,38.1,0.07698019801980209,0.13071428571428567,-0.2865329512893983,-0.2902702702702703
1972,365,809.5,193.9,23.78,92.41,592.6,228.7,1241,21.3,25.4,19.5,25.2,1.8,0.18,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.513,0.22,0.2,0.3,0.28,0,0,0,3.9,0.21,0.79,0.21,43.3,0.6987499999999996,-0.03630952380952381,-0.46418338108882523,-0.4661261261261261
1973,365,930.7,191.9,23.99,106.2,1126,208.1,2854,16.8,25.6,14.9,25.4,1.94,0.179,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.59,0.47,0.082,0.17,0.28,0,0,0,15.4,0.15,0.57,0.43,26.2,0.10166666666666667,0.10797619047619053,0.01719197707736394,0.014414414414414415
1974,365,844,193.6,0,96.35,1612,216.8,5518,11.7,25.5,9.82,25.3,1.94,0.197,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,13,0,0,0.036,0.535,0.46,0.11,0.19,0.24,0,13,0.03561643835616438,29.9,0.12,0.41,0.59,16.6,0.5102941176470592,0.004761904761904762,0.45558739255014324,0.45225225225225224
1975,366,844.1,191.6,0,96.1,1583,239.5,5537,11.7,25.4,9.79,25.1,1.94,0.221,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,4,0,0,0.011,0.535,0.42,0.15,0.27,0.17,0,4,0.010958904109589041,29.8,0.12,0.41,0.59,16.8,0.5088235294117648,0.004880952380952408,0.43553008595988546,0.4261261261261261
1976,365,974.7,194,43.82,111.3,1143,337.2,2845,16.9,24.9,14.9,24.5,1.94,0.247,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.618,0.42,0.13,0.42,0.036,0,0,0,15.3,0.16,0.57,0.43,27.1,0.04739057239057237,0.16035714285714292,0.03151862464183385,0.02972972972972973
1977,365,887.7,192.9,0,101.3,1899,273.3,6342,10.6,25.2,8.74,24.9,1.94,0.232,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,38,0,0,0.1,0.563,0.55,0.12,0.2,0.12,0,38,0.10410958904109589,36.5,0.11,0.39,0.61,14.8,0.24734848484848468,0.05678571428571434,0.7163323782234957,0.7108108108108108
1978,365,1025,192.7,0,117,1498,341.6,5397,11.9,24.9,9.99,24.5,1.94,0.247,47.3,6.23,23,0.199,0.0547,0.431,0,0,1,0,0,0.0027,0.65,0.48,0.19,0.32,0.016,0,1,0.0027397260273972603,24.3,0.13,0.49,0.51,21.7,0.005050505050505048,0.22023809523809523,0.3553008595988538,0.34954954954954953
1979,366,1015,192.6,38.4,115.6,1317,313.5,3065,16.3,25,14.4,24.7,1.94,0.235,41.6,5.68,22.3,0.211,0.062,0.44,0,0,0,0,0,0,0.644,0.48,0.14,0.3,0.082,0,0,0,19.3,0.14,0.54,0.46,24.4,0.013468013468013476,0.20833333333333334,0.19197707736389694,0.1864864864864865
1980,365,936,191.9,33,106.9,1159,283.2,3456,15.5,25.2,13.5,24.9,1.94,0.233,36.6,5.69,20,0.237,0.0608,0.476,0,0,0,0,0,0,0.594,0.41,0.14,0.32,0.13,0,0,0,16.6,0.16,0.55,0.45,25.6,0.09405940594059412,0.11428571428571428,0.04871060171919779,0.044144144144144144
1981,365,801.8,194.2,26.94,91.52,599,242.4,1435,20.7,25.3,18.8,25.1,1.89,0.209,18.9,3.98,14.7,0.266,0.0881,0.487,0,0,0,0,0,0,0.508,0.22,0.18,0.28,0.32,0,0,0,4.2,0.21,0.78,0.22,42.4,0.7446428571428573,-0.04547619047619053,-0.4584527220630373,-0.4603603603603604
1982,365,851.4,184.4,21.92,97.19,616.1,220.7,1140,21.7,25.5,20.2,25.3,1.47,0.164,19.4,3.9,15.5,0.252,0.111,0.535,0,0,0,0,0,0,0.54,0.25,0.22,0.25,0.28,0,0,0,3.9,0.2,0.8,0.2,43.9,0.43604651162790764,0.013571428571428545,-0.44412607449856734,-0.44495495495495496
1983,366,808.8,194.2,24.87,92.07,658.1,211.9,1780,19.6,25.5,17.7,25.3,1.94,0.187,20.8,3.75,15.4,0.255,0.0727,0.458,0,0,0,0,0,0,0.513,0.27,0.13,0.24,0.36,0,0,0,5.4,0.18,0.74,0.26,38.9,0.7029761904761904,-0.0371428571428572,-0.40401146131805155,-0.4071171171171171
1984,365,854.9,194.2,23.12,97.59,733.1,201.4,1930,19.1,25.6,17.2,25.4,1.94,0.174,23.1,4.31,16.6,0.265,0.0784,0.534,0,0,0,0,0,0,0.542,0.31,0.13,0.22,0.34,0,0,0,6.5,0.19,0.72,0.28,37,0.3977528089887642,0.017738095238095213,-0.3381088825214899,-0.3395495495495495
1985,365,774.9,192.3,23.01,88.46,756.4,203.8,3038,16.4,25.6,14.5,25.4,1.94,0.171,23.9,4.36,15.3,0.273,0.0511,0.526,0,0,0,0,0,0,0.491,0.28,0.13,0.22,0.38,0,0,0,8.6,0.18,0.64,0.36,32.4,0.8507352941176471,-0.07750000000000003,-0.31518624641833815,-0.3185585585585586
1986,365,921.1,191.8,26.28,105.2,801.3,239.5,2073,18.7,25.4,16.8,25.2,1.94,0.203,25.3,4.53,18,0.246,0.0737,0.512,0,0,0,0,0,0,0.584,0.33,0.19,0.26,0.22,0,0,0,7.3,0.18,0.71,0.29,36.4,0.13366666666666674,0.09654761904761908,-0.2750716332378223,-0.27810810810810815
1987,366,841.5,194.2,25,95.8,779.5,223.4,2471,17.8,25.5,15.8,25.3,1.94,0.191,24.7,4.59,16.7,0.27,0.0608,0.512,0,0,0,0,0,0,0.534,0.36,0.068,0.25,0.33,0,0,0,8,0.19,0.68,0.32,34.1,0.5470588235294113,0.0017857142857142857,-0.2922636103151862,-0.29774774774774776
1988,365,851.9,193.7,23.99,97.25,1334,208.1,3835,14.7,25.6,12.7,25.4,1.94,0.179,42.1,5.85,19.5,0.246,0.0628,0.505,0,0,0,0,0,0,0.54,0.42,0.096,0.23,0.26,0,0,0,22.6,0.14,0.46,0.54,20.2,0.4302325581395355,0.01416666666666664,0.20630372492836685,0.2018018018018018
1989,365,760.6,165.4,26.3,86.83,545.3,211.9,1026,22,25.5,20.9,25.3,1.11,0.199,17.2,3.51,13.7,0.257,0.112,0.449,0,0,0,0,0,0,0.482,0.26,0.16,0.21,0.38,0,0,0,3.5,0.2,0.8,0.2,44.2,0.8857843137254902,-0.0945238095238095,-0.5071633237822349,-0.5087387387387388
1990,365,798.4,193.3,22.46,91.14,775,201.4,2321,18.1,25.6,16.2,25.4,1.94,0.166,24.4,3.94,16.1,0.254,0.0784,0.482,0,0,0,0,0,0,0.506,0.31,0.1,0.23,0.36,0,0,0,8.3,0.16,0.66,0.34,32.7,0.7631578947368421,-0.04952380952380955,-0.3008595988538682,-0.30180180180180183
1991,366,694.8,151.2,21.45,79.09,492.9,172.6,919.2,22.4,25.6,21.5,25.4,0.958,0.157,15.6,3.3,12.3,0.259,0.111,0.417,0,0,0,0,0,0,0.441,0.096,0.29,0.22,0.39,0,0,0,3.3,0.21,0.79,0.21,44.5,0.9522668727460072,-0.1728571428571429,-0.5530085959885386,-0.5559459459459459
1992,365,777.3,194.2,24.04,88.74,878.9,163.3,3612,15.1,25.6,13.2,25.4,1.94,0.174,27.7,4.19,16.2,0.238,0.0595,0.457,0,0,0,0,0,0,0.493,0.35,0.055,0.24,0.35,0,0,0,11.5,0.15,0.58,0.42,28.1,0.8435185185185188,-0.07464285714285719,-0.20630372492836674,-0.2081981981981982
1993,365,703.7,193.4,17.57,80.33,578.6,156.8,1812,19.5,25.6,17.6,25.4,1.94,0.13,18.2,3.51,13.4,0.276,0.0891,0.459,0,0,0,0,0,0,0.446,0.23,0.12,0.18,0.48,0,0,0,4.8,0.19,0.74,0.26,38.7,0.9499023437499999,-0.16226190476190472,-0.4785100286532951,-0.47873873873873873
1994,365,565.9,194.2,12.06,64.6,416.8,134.4,1250,21.3,25.6,19.5,25.4,1.81,0.0992,13.1,2.89,10.2,0.294,0.1,0.539,0,0,0,0,0,0,0.359,0.14,0.09,0.21,0.56,0,0,0,2.9,0.22,0.78,0.22,43.2,0.9854714064914992,-0.3263095238095238,-0.6246418338108882,-0.6245045045045046
1995,366,509.5,143,12.06,58,370.6,127.7,851.4,22.7,25.6,21.8,25.4,0.941,0.0992,11.7,2.87,8.85,0.3,0.147,0.536,0,0,0,0,0,0,0.323,0,0.21,0.23,0.56,0,0,0,2.85,0.25,0.76,0.24,43.5,1,-0.39345238095238094,-0.664756446991404,-0.6661261261261261
1996,365,753.5,193.4,15.3,86.01,556.8,127.7,1388,20.9,25.6,19,25.4,1.86,0.113,17.6,3.23,14.1,0.248,0.109,0.452,0,0,0,0,0,0,0.478,0.24,0.14,0.18,0.44,0,0,0,3.5,0.18,0.8,0.2,42.8,0.90126953125,-0.10297619047619047,-0.495702005730659,-0.4983783783783784
1997,365,793.7,191.3,19.11,90.6,1098,155.5,3553,15.3,25.6,13.3,25.4,1.94,0.144,34.6,5.06,17.5,0.244,0.0539,0.564,0,0,0,0,0,0,0.503,0.36,0.1,0.18,0.35,0,0,0,17.1,0.15,0.51,0.49,22.9,0.787894736842105,-0.05511904761904757,-0.008595988538681867,-0.010810810810810811
1998,365,810,193.5,21.03,92.47,1061,171.9,3389,15.6,25.6,13.7,25.4,1.94,0.153,33.5,4.85,17.6,0.245,0.064,0.564,0,0,0,0,0,0,0.514,0.36,0.12,0.19,0.33,0,0,0,15.9,0.14,0.53,0.47,24.2,0.6956249999999997,-0.03571428571428571,-0.04011461318051572,-0.044144144144144144
1999,366,776.2,191,22.95,88.37,864.1,194.2,3367,15.7,25.6,13.7,25.4,1.94,0.17,27.3,4.21,16,0.242,0.0468,0.461,0,0,0,0,0,0,0.492,0.31,0.09,0.24,0.36,0,0,0,11.3,0.15,0.59,0.41,28.4,0.8469135802469135,-0.0759523809523809,-0.21776504297994265,-0.22153153153153152
