year,month,waterMonth,waterYear,flowMean,flowMin,flowMax,flowMedian,flowChange,flowChangePercent,volume,flowMeanVariance,flowMeanCalMonthExceedance
1966,12,3,1966,372,338,440,365,102,0.23114627171792837,997,0.2916666666666667,0.671764705882353
1967,1,4,1966,544,446,654,551,202,0.31206362189916476,1457,1.2761506276150627,0.75
1967,2,5,1966,784,648,906,764,259,0.28548774576686436,1896,1.8405797101449275,0.7913965087281796
1967,3,6,1966,1146,925,1678,1083,753,0.44884235348377277,3069,1.6527777777777777,0.7904371584699454
1967,4,7,1966,2745,1752,3452,2754,1459,0.4544957604791781,7115,2.8178025034770515,0.5917582417582418
1967,5,8,1966,2443,2004,3169,2335,-1165,-0.5812136436491643,6544,0.8136599851521901,0.3683809523809525
1967,6,9,1966,1582,1151,1967,1590,-815,-0.7080366114273228,4100,-0.37495061240616356,0.19412455934195075
1967,7,10,1966,769,527,1126,712,-598,-1.1348282401175336,2060,-0.7406408094435076,0.1864705882352943
1967,8,11,1966,442,373,523,440,-150,-0.40215817300290413,1183,-0.800811176205498,0.25
1967,9,12,1966,327,281,373,327,-92,-0.325937841901607,847,-0.7281795511221946,0.25
1967,10,1,1967,278,257,306,274,9,0.031680724755573965,744,-0.5280135823429541,0.21
1967,11,2,1967,378,291,440,389,150,0.3397725228825777,981,-0.01818181818181818,0.08
1967,12,3,1967,566,443,706,564,263,0.37268613403624273,1516,0.9652777777777778,0.09599999999999992
1968,1,4,1967,1700,720,3496,1183,2776,0.793976491696342,4553,6.112970711297071,0
1968,2,5,1967,4719,3734,5278,4595,745,0.16631890336525756,11825,16.097826086956523,0.01361811369628562
1968,3,6,1967,4205,3773,5278,4091,846,0.16024826346756937,11263,8.733796296296296,0.11965494137353427
1968,4,7,1967,4708,3496,5513,4808,-1867,-0.5340942364805058,12203,5.54798331015299,0.08639327024185062
1968,5,8,1967,2634,2042,3441,2568,-1399,-0.6853891620071333,7056,0.955456570155902,0.27183703703703704
1968,6,9,1967,1427,1060,2004,1378,-944,-0.8907519808737483,3698,-0.43619122876333466,0.29
1968,7,10,1967,781,609,1025,752,-416,-0.6839117456140271,2093,-0.736593591905565,0.17
1968,8,11,1967,516,446,609,512,-163,-0.36641656712490467,1383,-0.7674628210905814,0.09749999999999995
1968,9,12,1967,398,350,443,401,-93,-0.26434873547956866,1031,-0.6691604322527016,0.08229665071770335
1968,10,1,1968,305,281,347,299,-66,-0.23326089254562654,818,-0.48217317487266553,0.10930232558139533
1968,11,2,1968,356,281,463,341,181,0.39183050449526835,924,-0.07532467532467532,0.11981220657276992
1968,12,3,1968,554,467,654,551,187,0.2859283276223273,1484,0.9236111111111112,0.1097560975609756
1969,1,4,1968,790,667,971,768,305,0.3135842787124374,2116,2.305439330543933,0.2761224489795919
1969,2,5,1968,1755,971,4515,1243,3544,0.7848516537486868,4246,5.358695652173913,0.1707627118644068
1969,3,6,1968,6893,5009,8225,6871,3217,0.39107541564497084,18462,14.956018518518519,0.021799731018461888
1969,4,7,1968,7423,5551,8540,7617,-2853,-0.5140493043949669,19240,9.324061196105703,0
1969,5,8,1968,3739,2568,5359,3573,-2791,-1.087102275364078,10014,1.7757980697847067,0.04190209790209785
1969,6,9,1968,1863,1328,2488,1819,-1160,-0.8738489109731717,4829,-0.26392730146187277,0.0744585987261146
1969,7,10,1968,1015,794,1270,1023,-475,-0.5986648483676411,2720,-0.657672849915683,0.03626373626373621
1969,8,11,1968,638,538,779,624,-242,-0.4492914659016855,1708,-0.7124831004957188,0.02051157125456758
1969,9,12,1968,469,427,533,465,-106,-0.24819074390852786,1216,-0.6101413133832086,0.010475161987041032
1969,10,1,1969,437,418,470,440,48,0.1014702713203915,1171,-0.25806451612903225,0
1969,11,2,1969,526,470,648,500,177,0.2740219353224068,1363,0.36623376623376624,0
1969,12,3,1969,776,648,905,768,258,0.2846985791255222,2077,1.6944444444444444,0.010703124999999987
1970,1,4,1969,1226,905,1768,1151,862,0.4877754788666272,3285,4.129707112970712,0.06963210702341133
1970,2,5,1969,2997,1808,4525,2778,2717,0.6005018815265087,7250,9.858695652173912,0.06483489851560123
1970,3,6,1969,4636,4111,4874,4686,-484,-0.11771777452777477,12416,9.731481481481481,0.07284324942791759
